dzoi,pubmed_id,title,subtype,affilname,affiliation_city,affiliation_country,author_names,publicationName,aggregationType,description,authkeywords,citedby_count,openaccess,score
10.1055/a-1265-7259,33588501,"Surgical Education in the Digital Age - Virtual Reality, Augmented Reality and Robotics in the Medical School",ar,Medizinischen Fakultät Ostwestfalen-Lippe;St. Georg Klinikum Eisenach gGmbH;Universitätsmedizin Mainz,Bielefeld;Eisenach;Mainz,Germany;Germany;Germany,"Kuhn, Sebastian;Huettl, Florentine;Deutsch, Kim;Kirchgässner, Elisa;Huber, Tobias;Kneist, Werner","Zentralblatt fur Chirurgie - Zeitschrift fur Allgemeine, Viszeral- und Gefasschirurgie",Journal,"Background The digital transformation of healthcare is changing the medical profession. Augmented/Virtual Reality (AR/VR) and robotics are being increasingly used in different clinical contexts and require supporting education and training, which must begin within the medical school. There is currently a large discrepancy between the high demand and the number of scientifically proven concepts. The aim of this thesis was the conceptual design and structured evaluation of a newly developed learning/teaching concept for the digital transformation of medicine, with a special focus on the influence of surgical teaching. Methods Thirty-five students participated in three courses of the blended learning curriculum Medicine in the digital age. The 4th module of this course deals with virtual reality, augmented reality and robotics in surgery. It is divided into the following course parts: (1) immersive surgery simulation of a laparoscopic cholecystectomy, (2) liver surgery planning using AR/VR, (3) basic skills on the VR simulator for robotic surgery, (4) collaborative surgery planning in virtual space and (5) expert discussion. After completing the overall curriculum, a qualitative and quantitative evaluation of the course concept was carried out by means of semi-structured interviews and standardised pre-/post-evaluation questionnaires. Results In the qualitative evaluation procedure of the interviews, 79 text statements were assigned to four main categories. The largest share (35%) was taken up by statements on the expert discussion, which the students consider to be an elementary part of the course concept. In addition, the students perceived the course as a horizon-widening learning experience (29% of the statements) with high practical relevance (27%). The quantitative student evaluation shows a positive development in the three sub-competences knowledge, skills and attitude. Conclusion Surgical teaching can be profitably used to develop digital skills. The speed of the change process of digital transformation in the surgical specialty must be considered. Curricular adaptation should be anchored in the course concept.",computer-assisted surgery | digital transformation | medical education | robotic | virtual/augmented reality,4,1,Not relevant
10.1016/j.ajog.2015.11.023,26640072,"Development and validation of a laparoscopic hysterectomy cuff closure simulation model for surgical training These data were presented at Pelvic Floor Disorders Week, American Urogynecological Association, October 13-17, 2015 in Seattle, WA and at the American Association of Gynecologic Laparoscopists Global congress, November 15-19, 2015 in Las Vegas, NV.",ar,University of Colorado Anschutz Medical Campus;Hartford Hospital,Aurora;Hartford,United States;United States,"Tunitsky-Bitton, Elena;Propst, Katie;Muffly, Tyler",American Journal of Obstetrics and Gynecology,Journal,"Background The number of robotically assisted hysterectomies is increasing, and therefore, the opportunities for trainees to become competent in performing traditional laparoscopic hysterectomy are decreasing. Simulation-based training is ideal for filling this gap in training. Objective The objective of the study was to design a surgical model for training in laparoscopic vaginal cuff closure and to present evidence of its validity and reliability as an assessment and training tool. Study Design Participants included gynecology staff and trainees at 2 tertiary care centers. Experienced surgeons were also recruited at the combined International Urogynecologic Association and American Urogynecologic Society scientific meeting. Participants included 19 experts and 21 trainees. All participants were recorded using the laparoscopic hysterectomy cuff closure simulation model. The model was constructed using the an advanced uterine manipulation system with a sacrocolopexy tip/vaginal stent, a vaginal cuff constructed from neoprene material and lined with a swimsuit material (nylon and spandex) secured to the vaginal stent with a plastic cable tie. The uterine manipulation system was attached to the fundamentals of laparoscopic surgery laparoscopic training box trainer using a metal bracket. Performance was evaluated using the Global Operative Assessment of Laparoscopic Skills scale. In addition, needle handling, knot tying, and incorporation of epithelial edge were also evaluated. The Student t test was used to compare the scores and the operating times between the groups. Intrarater reliability between the scores by the 2 masked experts was measured using the interclass correlation coefficient. Results Total and annual experience with laparoscopic suturing and specifically vaginal cuff closure varied greatly among the participants. For the construct validity, the participants in the expert group received significantly higher scores in each of the domains of the Global Operative Assessment of Laparoscopic Skills Scale and for each of the 3 added items than did the trainees. The median total Global Operative Assessment of Laparoscopic Skills Scale score (maximum 20) for the experts was 18.8 (range, 11-20), whereas the median total Global Operative Assessment of Laparoscopic Skills Scale score for the trainees was 10 (range, 8-18) (P =.001). The overall score that included the 3 new domains (maximum 35) was 33 (range, 18-35) for the experts and 17.5 (range, 14-31.5) for trainees (P =.001). For the face validity testing, the majority of the study participants (32 [85%]) agreed or strongly agreed that the model is realistic and all participants agreed or strongly agreed that the model appears to be useful for improving technique required for this task. For the interrater reliability, the scores assigned by each observer had an interclass correlation coefficient of 0.8 (95% confidence interval, 0.7-0.93). Conclusion This model is easily constructed and has an acceptable cost. We have demonstrated evidence of construct validity. This is a valuable education tool that can serve to improve skills, which are essential to the gynecological surgeon but are often lacking in residency training because of national changes in practice patterns.",Laparoscopic hysterectomy | Surgical simulation | Vaginal cuff closure,19,0,Not relevant
10.1177/1553350616628680,26839212,Prevailing Trends in Haptic Feedback Simulation for Minimally Invasive Surgery,ar,University of Alberta,Edmonton,Canada,"Pinzon, David;Byrns, Simon;Zheng, Bin",Surgical Innovation,Journal,"Background. The amount of direct hand-tool-tissue interaction and feedback in minimally invasive surgery varies from being attenuated in laparoscopy to being completely absent in robotic minimally invasive surgery. The role of haptic feedback during surgical skill acquisition and its emphasis in training have been a constant source of controversy. This review discusses the major developments in haptic simulation as they relate to surgical performance and the current research questions that remain unanswered. Search Strategy. An in-depth review of the literature was performed using PubMed. Results. A total of 198 abstracts were returned based on our search criteria. Three major areas of research were identified, including advancements in 1 of the 4 components of haptic systems, evaluating the effectiveness of haptic integration in simulators, and improvements to haptic feedback in robotic surgery. Conclusions. Force feedback is the best method for tissue identification in minimally invasive surgery and haptic feedback provides the greatest benefit to surgical novices in the early stages of their training. New technology has improved our ability to capture, playback and enhance to utility of haptic cues in simulated surgery. Future research should focus on deciphering how haptic training in surgical education can increase performance, safety, and improve training efficiency.",haptic feedback | minimally invasive surgery | simulation,21,0,Not relevant
10.1007/s00464-021-08999-6,,Ensemble deep learning for the prediction of proficiency at a virtual simulator for robot-assisted surgery,ar,Azienda Ospedaliero Universitaria Pisana;Università di Pisa;Sant'Anna Scuola Universitaria Superiore Pisa;University of Dundee;Cisanello Teaching Hospital of Pisa,Pisa;Pisa;Pisa;Dundee;Pisa,Italy;Italy;Italy;United Kingdom;Italy,"Moglia, Andrea;Morelli, Luca;D’Ischia, Roberto;Fatucchi, Lorenzo Maria;Pucci, Valentina;Berchiolli, Raffaella;Ferrari, Mauro;Cuschieri, Alfred",Surgical Endoscopy,Journal,"Background: Artificial intelligence (AI) has the potential to enhance patient safety in surgery, and all its aspects, including education and training, will derive considerable benefit from AI. In the present study, deep-learning models were used to predict the rates of proficiency acquisition in robot-assisted surgery (RAS), thereby providing surgical programs directors information on the levels of the innate ability of trainees to facilitate the implementation of flexible personalized training. Methods: 176 medical students, without prior experience with surgical simulators, were trained to reach proficiency in five tasks on a virtual simulator for RAS. Ensemble deep neural networks (DNN) models were developed and compared with other ensemble AI algorithms, i.e., random forests and gradient boosted regression trees (GBRT). Results: DNN models achieved a higher accuracy than random forests and GBRT in predicting time to proficiency, 0.84 vs. 0.70 and 0.77, respectively (Peg board 2), 0.83 vs. 0.79 and 0.78 (Ring walk 2), 0.81 vs 0.81 and 0.80 (Match board 1), 0.79 vs. 0.75 and 0.71 (Ring and rail 2), and 0.87 vs. 0.86 and 0.84 (Thread the rings 2). Ensemble DNN models outperformed random forests and GBRT in predicting number of attempts to proficiency, with an accuracy of 0.87 vs. 0.86 and 0.83, respectively (Peg board 2), 0.89 vs. 0.88 and 0.89 (Ring walk 2), 0.91 vs. 0.89 and 0.89 (Match board 1), 0.89 vs. 0.87 and 0.83 (Ring and rail 2), and 0.96 vs. 0.94 and 0.94 (Thread the rings 2). Conclusions: Ensemble DNN models can identify at an early stage the acquisition rates of surgical technical proficiency of trainees and identify those struggling to reach the required expected proficiency level.",Artificial intelligence robotic surgery | Artificial intelligence surgical simulation | Deep-learning robotic surgery | Deep-learning surgical simulation | Machine learning robotic surgery | Machine learning surgical simulation,0,1,Not relevant
10.1007/s00464-017-5816-2,28842763,Development of a surgical training model for bilateral axillo-breast approach robotic thyroidectomy,ar,Ewha Womans University Medical Center;Seoul National University Bundang Hospital;Seoul Metropolitan Government - Seoul National University Borame Medical Center;Seoul National University Hospital;Seoul National University College of Medicine,Seoul;Seongnam;Seoul;Seoul;Seoul,South Korea;South Korea;South Korea;South Korea;South Korea,"Yu, Hyeong Won;Yi, Jin Wook;Seong, Chan Yong;Kim, Jong kyu;Bae, In Eui;Kwon, Hyungju;Chai, Young Jun;Kim, Su jin;Choi, June Young;Lee, Kyu Eun",Surgical Endoscopy,Journal,"Background: Bilateral axillo-breast approach robotic thyroidectomy (BABA RT) is an excellent surgical method, being oncologically safe and with anatomic views similar to those of open surgery. BABA RT, however, requires training and a learning curve for proficiency. We evaluated the educational effectiveness of a surgical training model for BABA RT, comparing objective BABA scores with scores on the da Vinci Skills Simulator (dVSS). Methods: Medical students, surgical residents, and surgical fellows performed structured tasks with the BABA training model and dVSS under the same conditions. All tasks were videotaped. BABA scores were compared with dVSS scores and with objective evaluation scores (GEARS and OSATS). Results: Eight medical students, ten surgical residents, and eight surgical fellows participated in this study. The educational effect of BABA training improved from one to two (p < 0.001), two to three (p = 0.003), and one to three (p < 0.001) procedures. Statistically significant differences were found when students were compared with residents (p = 0.025) and fellows (p < 0.001) in the BABA training model, and between students and fellows (p = 0.004) in dVSS. BABA scores showed similar distribution patterns in the three groups to GEARS and OSATS scores (p < 0.001 each). Conclusions: The BABA training model is an excellent educational tool for surgical residents and surgical fellows to learn and practice BABA RT. Assessment by BABA score yielded objective results comparable to those of traditional scoring methodologies.",Bilateral axillo-breast approach | Education | Simulation | Simulator | Training model,7,0,Not relevant
10.1186/s12909-017-1106-x,29282043,A one-day surgical-skill training course for medical students' improved surgical skills and increased interest in surgery as a career,ar,The Catholic University of Korea,Bucheon,South Korea,"Seo, Ho Seok;Eom, Yong Hwa;Kim, Min Ki;Kim, Young Min;Song, Byung Joo;Song, Kyo Young",BMC Medical Education,Journal,"Background: Despite many high-quality programs in basic surgical-skill education, the surgical skill of junior doctors varies widely. This, together with the waning interest in surgery as a career among medical students, is a serious issue confronted by hospitals and healthcare systems worldwide. We, therefore, developed and implemented an intensive one-day surgical-skill training course for two purposes; it would improve surgical skills and increase interest in surgery among medical students. Methods: The surgical-skill training program is named Surgical Skill Weekend (SSW) and it includes hands-on training sessions for surgical-suturing techniques and advanced surgical procedures (i.e. laparoscopic and robot-assisted surgery), hybrid simulation sessions, and an operating-room session where aforementioned sessions are all put together. By the end of the program, students' improvements in surgical-suturing skills were assessed by experts in a form of checklist, and changes in the interest in a surgical career, if there were any, were answered by the students who participated in the program. Results: A total of ninety-one (91) medical students participated in the 2015 and 2016 SSW courses. Their overall satisfaction level with the course was very high (Very satisfied: 78%, Quite satisfied: 22%). All of the participant's surgical-suturing skills significantly improved (median score range: 14-20, P < 0.05) and their interest in a surgical career increased significantly (from 56% to 81%, P < 0.05) by completing the program. Conclusions: An intensive and comprehensive surgical-skill training program for medical students can not only improve surgical-suturing skills but also increase interest in surgery as a career.",Intensive training | Medical students | Surgical skill,15,1,Not relevant
10.1007/s00464-016-5090-8,27422247,Viewpoint matters: objective performance metrics for surgeon endoscope control during robot-assisted surgery,ar,Intuitive Surgical;Palo Alto VA Healthcare System,Sunnyvale;Stanford,United States;United States,"Jarc, Anthony M.;Curet, Myriam J.",Surgical Endoscopy,Journal,"Background: Effective visualization of the operative field is vital to surgical safety and education. However, additional metrics for visualization are needed to complement other common measures of surgeon proficiency, such as time or errors. Unlike other surgical modalities, robot-assisted minimally invasive surgery (RAMIS) enables data-driven feedback to trainees through measurement of camera adjustments. The purpose of this study was to validate and quantify the importance of novel camera metrics during RAMIS. Methods: New (n = 18), intermediate (n = 8), and experienced (n = 13) surgeons completed 25 virtual reality simulation exercises on the da Vinci Surgical System. Three camera metrics were computed for all exercises and compared to conventional efficiency measures. Results: Both camera metrics and efficiency metrics showed construct validity (p < 0.05) across most exercises (camera movement frequency 23/25, camera movement duration 22/25, camera movement interval 19/25, overall score 24/25, completion time 25/25). Camera metrics differentiated new and experienced surgeons across all tasks as well as efficiency metrics. Finally, camera metrics significantly (p < 0.05) correlated with completion time (camera movement frequency 21/25, camera movement duration 21/25, camera movement interval 20/25) and overall score (camera movement frequency 20/25, camera movement duration 19/25, camera movement interval 20/25) for most exercises. Conclusions: We demonstrate construct validity of novel camera metrics and correlation between camera metrics and efficiency metrics across many simulation exercises. We believe camera metrics could be used to improve RAMIS proficiency-based curricula.",Endoscope control | Performance metrics | Proficiency | Robot-assisted surgery | Surgeon training | Visualization,12,1,Not relevant
10.1016/j.xjep.2021.100464,,Developing an emergency robotic undocking protocol using simulation,ar,Duke University,Durham,United States,"Dunnahoo, Forrest C.;Thompson, Julie;Simmons Muckler, Virginia C.",Journal of Interprofessional Education and Practice,Journal,"Background: Emergent undocking of the surgical robot is a high-acuity low-frequency event that requires knowledge and proficiency to optimize patient safety. Simulation was used to codify sequential processes, roles, and responsibilities. Purpose: This quality improvement project aimed to develop a protocol for use during emergent undocking of the surgical robot. Methods: A pre-post interventional design was used. One pre- and two post-intervention simulation performances of interprofessional teams were observed during intraoperative crisis events. Educational sessions provided instruction on roles and responsibilities and emergent undocking procedures. Interprofessional simulation training sessions allowed staff to refine and practice emergent robotic undocking. Discussion: Timed endpoints notably improved. Participant confidence in the emergent undocking of the surgical robotic improved. Adherence initially improved then declined to pre-intervention levels. Conclusions: Project outcomes showcase the utility of emergent robotic undocking procedures, and demonstrate the effectiveness of conducting simulations to codify and refine the process of emergency robotic undocking.",Emergency undocking | Interprofessional | Robotic surgery | Simulation | Surgical robot | Undocking,0,0,Not relevant
10.1002/rcs.2195,33124140,Development and validation of non-guided bladder-neck and neurovascular-bundle dissection modules of the RobotiX-Mentor® full-procedure robotic-assisted radical prostatectomy virtual reality simulation,ar,Universitätsspital Basel;Charité – Universitätsmedizin Berlin;University College London Hospitals NHS Foundation Trust;Karolinska Universitetssjukhuset;Icahn School of Medicine at Mount Sinai;Karolinska Institutet,Basel;Berlin;London;Stockholm;New York;Stockholm,Switzerland;Germany;United Kingdom;Sweden;United States;Sweden,"Ebbing, Jan;Wiklund, Peter N.;Akre, Olof;Carlsson, Stefan;Olsson, Mats J.;Höijer, Jonas;Heimer, Maurice;Collins, Justin W.",International Journal of Medical Robotics and Computer Assisted Surgery,Journal,"Background: Full-procedure virtual reality (VR) simulator training in robotic-assisted radical prostatectomy (RARP) is a new tool in surgical education. Methods: Description of the development of a VR RARP simulation model, (RobotiX-Mentor®) including non-guided bladder neck (ngBND) and neurovascular bundle dissection (ngNVBD) modules, and assessment of face, content, and construct validation of the ngBND and ngNVBD modules by robotic surgeons with different experience levels. Results: Simulator and ngBND/ngNVBD modules were rated highly by all surgeons for realism and usability as training tool. In the ngBND-task construct, validation was not achieved in task-specific performance metrics. In the ngNVBD, task-specific performance of the expert/intermediately experienced surgeons was significantly better than that of novices. Conclusions: We proved face and content validity of simulator and both modules, and construct validity for generic metrics of the ngBND module and for generic and task-specific metrics of the ngNVBD module.",education | prostate | robotic-assisted radical prostatectomy | simulator | training | validation | virtual reality,1,1,Not relevant
10.1007/s10353-022-00747-x,,"eSurgery—digital transformation in surgery, surgical education and training: survey analysis of the status quo in Germany",ar,Bundeswehrzentralkrankenhaus Koblenz;Universitätsklinikum des Saarlandes Medizinische Fakultät der Universität des Saarlandes;Universitätsmedizin Mainz;Helios Kliniken Schwerin;BG Hospital Tuebingen,Koblenz am Rhein;Homburg;Mainz;Schwerin;Tubingen,Germany;Germany;Germany;Germany;Germany,"Kröplin, Juliane;Huber, Tobias;Geis, Christian;Braun, Benedikt;Fritz, Tobias",European Surgery - Acta Chirurgica Austriaca,Journal,"Background: In surgery, electronic healthcare systems offer numerous options to improve patient care. The aim of this study was to analyse the current status of digitalisation and its influence in surgery, with a special focus on surgical education and training. Methods: An individually created questionnaire was used to analyse the subjective assessment of the digitalisation processes in clinical surgery. The online questionnaire consisted of 16 questions regarding the importance and the corresponding implementation of the teaching content: big data, health apps, messenger apps, telemedicine, data protection/IT security, ethics, simulator training, economics and e‑Learning were included. The participation link was sent to members of the German Society of Surgery via the e‑Mail distribution list. Results: In total, 119 surgeons (response rate = 19.8%) took part in the survey: 18.5% of them were trainees (TR), and 81.5% had already completed specialist training (SP). Overall, 66.4% confirmed a positive influence of digitalisation on the quality of patient care. The presence of a surgical robot was confirmed by 47.9% of the participants. A further 22.0% (n = 26) of the participants confirmed the possibility of using virtual simulators. According to 79.0% of the participants, the integration of digital technologies in surgical education for basic and advanced stage surgeons should be aimed for. Data protection (1.7) and e‑Learning (1.7) were rated as the most important teaching content. The greatest discrepancy between importance and implementation was seen in the teaching content of big data (mean: 2.2–3.8). Conclusion: The results of the survey reveal the particular importance of digitalisation content for surgery, surgical education and training. At the same time, the results underline the desire for increased integration of digital competence teaching. The data also show an overall more progressive and optimistic perception of TR. In order to meet the challenges of the digital transformation, the implementation of suitable curricula, including virtual simulation-based training and blended-learning teaching concepts, should be emphasised.",Artificial intelligence | Data literacy | Digital leadership | Digital transformation | Robotic | Surgical training | Virtual reality,0,0,Not relevant
10.1016/j.soard.2015.07.011,26507939,Laparoscopic hand-assisted versus robotic-assisted laparoscopic sleeve gastrectomy: Experience of 103 consecutive cases,ar,Bronx-Lebanon Hospital Center;University of Pennsylvania;Johns Hopkins University,New York;Philadelphia;Baltimore,United States;United States;United States,"Kannan, Umashankkar;Ecker, Brett L.;Choudhury, Rashikh;Dempsey, Daniel T.;Williams, Noel N.;Dumon, Kristoffel R.",Surgery for Obesity and Related Diseases,Journal,"Background: Laparoscopic sleeve gastrectomy has become a stand-alone procedure in the treatment of morbid obesity. There are very few reports on the use of robotic approach in sleeve gastrectomy. Objectives: The purpose of this retrospective study is to report our early experience of robotic-assisted laparoscopic sleeve gastrectomy (RALSG) using a proctored training model with comparison to an institutional cohort of patients who underwent laparoscopic hand-assisted sleeve gastrectomy (LASG). Settings: University hospital. Methods: The study included 108 patients who underwent sleeve gastrectomy either via the laparoscopic-assisted or robot-assisted approach during the study period. Of these 108 patients, 62 underwent LASG and 46 underwent RALSG. The console surgeon in the RALSG is a clinical year 4 (CY4) surgery resident. All CY4 surgery residents received targeted simulation training before their rotation. The console surgeon is proctored by the primary surgeon with assistance as needed by the second surgeon. Results: The patients in the robotic and laparoscopic cohorts did not have a statistical difference in their demographic characteristics, preoperative co-morbidities, or complications. The mean operating time did not differ significantly between the 2 cohorts (121 min versus 110 min, P = .07). Patient follow-up in the LSG and RALSG were 91% and 90% at 3 months, 62% and 64% at 6 months, and 60% and 55% at 1 year, respectively. The mean percentage estimated weight loss (EWL%) at 3 months, 6 months, and 1 year was greater in the robotic group but not statistically significant (27 versus 22 at 3 mo [P = .05] and 39 versus 34 at 6 mo [P = .025], 57 versus 48 at 1 yr [P = .09]). There was no mortality in either group. Conclusion: Early results of our experience with RALSG indicate low perioperative complication rates and comparable weight loss with LASG. The concept of a stepwise education model needs further validation with larger studies.",Bariatric surgery | Robotic | Sleeve gastrectomy,11,0,Not relevant
10.1007/s00464-017-5622-x,28634630,Development and validation of a tool for non-technical skills evaluation in robotic surgery—the ICARS system,ar,Forth Valley Royal Hospital;The London Clinic;Humanitas Research Hospital;The Netherlands Cancer Institute;Guy's Hospital;Guy's and St Thomas' NHS Foundation Trust;Università degli Studi di Padova,Larbert;London;Rozzano;Amsterdam;London;London;Padua,United Kingdom;United Kingdom;Italy;Netherlands;United Kingdom;United Kingdom;Italy,"Raison, Nicholas;Wood, Thomas;Brunckhorst, Oliver;Abe, Takashige;Ross, Talisa;Challacombe, Ben;Khan, Mohammed Shamim;Novara, Giacomo;Buffi, Nicolo;Van Der Poel, Henk;McIlhenny, Craig;Dasgupta, Prokar;Ahmed, Kamran",Surgical Endoscopy,Journal,"Background: Non-technical skills (NTS) are being increasingly recognised as vital for safe surgical practice. Numerous NTS rating systems have been developed to support effective training and assessment. Yet despite the additional challenges posed by robotic surgery, no NTS rating systems have been developed for this unique surgical environment. This study reports the development and validation of the first NTS behavioural rating system for robotic surgery. Methods: A comprehensive index of all relevant NTS behaviours in robotic surgery was developed through observation of robotic theatre and interviews with robotic surgeons. Using a Delphi methodology, a panel of 16 expert surgeons was consulted to identify behaviours important to NTS assessment. These behaviours were organised into an appropriate assessment template. Experts were consulted on the feasibility, applicability and educational impact of ICARS. An observational trial was used to validate ICARS. 73 novice, intermediate and expert robotic surgeons completed a urethrovesical anastomosis within a simulated operating room. NTS were tested using four scripted scenarios of increasing difficulty. Performances were video recorded. Robotic and NTS experts assessed the videos post hoc using ICARS and the standard behavioural rating system, NOn-Technical Skills for Surgeons (NOTSS). Results: 28 key non-technical behaviours were identified by the expert panel. The finalised behavioural rating system was organised into four principle domains and seven categories. Expert opinion strongly supported its implementation. ICARS was found to be equivalent to NOTSS on Bland–Altman analysis and accurately differentiated between novice, intermediate and expert participants, p = 0.01. Moderate agreement was found between raters, Krippendorff’s alpha = 0.4. The internal structure of ICARS was shown to be consistent and reliable (median Cronbach alpha = 0.92, range 0.85–0.94). Conclusion: ICARS is the first NTS behavioural rating system developed for robotic surgery. Initial validation has shown it to be an effective and reliable tool. Implementation of ICARS will supported structured training and assessment of NTS within the robotic surgical curriculum.",Assessment tool | Curriculum | Education | Non-technical skills | Robotic surgery | Training,29,0,Not relevant
10.3928/01484834-20210616-10,34232822,Nurse practitioner student perceptions of a pilot simulated gerontologic telehealth visit,ar,University of Central Florida,Orlando,United States,"LaManna, Jacqueline B.;Eckhoff, Dawn O.;Duncan, Jodi;Anderson, Mindi",Journal of Nursing Education,Journal,"Background: Recently published nurse practitioner (NP) education organization recommendations and telehealth equipment acquisition necessitated integration of telehealth simulation into NP curricula at a large, public university. The COVID-19 pandemic and associated rapid uptake of telehealth accelerated the need for evidence-supported research in telehealth simulation in NP education. Method: A formative gerontologic simulation scenario using telehealth robot technology was developed by synthesizing best practice guidelines for simulation and telehealth delivery. The simulated telehealth visit used standardized patients and embedded participants. Primary care NP students’ perceptions of simulation effectiveness, situational realism, and telehealth robot usability were evaluated using three quantitative tools. Results: Thirty-three primary care Doctor of Nursing Practice students participated in this gerontologic telehealth simulation. Students found the simulation to be effective and realistic, and found the telehealth robot technology to be usable. Conclusion: NP students positively evaluated this telehealth simulation experience. Additional research is needed on evidence-based teaching strategies to guide faculty in teaching and evaluating telehealth content.",,1,0,Not relevant
10.1007/s00464-020-07836-6,32767146,Applying the Delphi process for development of a hepatopancreaticobiliary robotic surgery training curriculum,ar,Oslo Universitetssykehus;Carolinas Medical Center;University of Illinois at Chicago;Charité – Universitätsmedizin Berlin;UniversitatsSpital Zurich;Eberhard Karls Universität Tübingen;Karolinska Institutet;Uniklinik Köln;City of Hope National Med Center;Tel Aviv University;The Ohio State University Comprehensive Cancer Center;University of North Carolina Health Sciences;Ziv Medical Centre,Oslo;Charlotte;Chicago;Berlin;Zurich;Tubingen;Stockholm;Koln;Duarte;Tel Aviv-Yafo;Columbus;Asheville;Safad,Norway;United States;United States;Germany;Switzerland;Germany;Sweden;Germany;United States;Israel;United States;United States;Israel,"Fong, Yuman;Buell, Joseph F.;Collins, Justin;Martinie, John;Bruns, Christiane;Tsung, Allan;Clavien, Pierre Alain;Nachmany, Ido;Edwin, Bjørn;Pratschke, Johann;Solomonov, Evgeny;Koenigsrainer, Alfred;Giulianotti, Pier Cristoforo",Surgical Endoscopy,Journal,"Background: Robotic hepatopancreaticobiliary (HPB) procedures are performed worldwide and establishing processes for safe adoption of this technology is essential for patient benefit. We report results of the Delphi process to define and optimize robotic training procedures for HPB surgeons. Methods: In 2019, a robotic HPB surgery panel with an interest in surgical training from the Americas and Europe was created and met. An e-consensus–finding exercise using the Delphi process was applied and consensus was defined as 80% agreement on each question. Iterations of anonymous voting continued over three rounds. Results: Members agreed on several points: there was need for a standardized robotic training curriculum for HPB surgery that considers experience of surgeons and based on a robotic hepatectomy includes a common approach for “basic robotic skills” training (e-learning module, including hardware description, patient selection, port placement, docking, troubleshooting, fundamentals of robotic surgery, team training and efficiency, and emergencies) and an “advanced technical skills curriculum” (e-learning, including patient selection information, cognitive skills, and recommended operative equipment lists). A modular approach to index procedures should be used with video demonstrations, port placement for index procedure, troubleshooting, and emergency scenario management information. Inexperienced surgeons should undergo training in basic robotic skills and console proficiency, transitioning to full procedure training of e-learning (video demonstration, simulation training, case observation, and final evaluation). Experienced surgeons should undergo basic training when using a new system (e-learning, dry lab, and operating room (OR) team training, virtual reality modules, and wet lab; case observations were unnecessary for basic training) and should complete the advanced index procedural robotic curriculum with assessment by wet lab, case observation, and OR team training. Conclusions: Optimization and standardization of training and education of HPB surgeons in robotic procedures was agreed upon. Results are being incorporated into future curriculum for education in robotic surgery.",Consensus | E-learning | HPB surgery | Robotic | Surgical education | Virtual reality,7,0,Not relevant
10.1002/rcs.1874,29125206,A comparative analysis and guide to virtual reality robotic surgical simulators,ar,CHU de Nancy;Florida Hospital;Virginia Commonwealth University,Nancy;Orlando;Richmond,France;United States;United States,"Julian, Danielle;Tanaka, Alyssa;Mattingly, Patricia;Truong, Mireille;Perez, Manuela;Smith, Roger",International Journal of Medical Robotics and Computer Assisted Surgery,Journal,"Background: Since the US Food and Drug Administration approved robotically assisted surgical devices for human surgery in 2000, the number of surgeries utilizing this innovative technology has risen. In 2015, approximately 650 000 robot-assisted procedures were performed worldwide. Surgeons must be properly trained to safely transition to using such innovative technology. Multiple virtual reality robotic simulators are now commercially available for educational and training purposes. There is a need for comparative evaluations of these simulators to aid users in selecting an appropriate device for their purposes. Methods: We conducted a comparison of the design and capabilities of all dedicated simulators of the da Vinci robot – the da Vinci Skills Simulator (dVSS), dV-Trainer (dVT), Robotic Skills Simulators (RoSS) and the RobotiX Mentor. This paper provides the base specifications of the hardware and software, with an emphasis on the training capabilities of each system. Results: Each simulator contains a large number of training exercises for skills development: dVSS n = 40, dVT n = 65, RoSS n = 52, RobotiX Mentor n = 31. All four offer 3D visual images but use different display technologies. The dVSS leverages the real robotic surgical console to provide visualization, hand controls and foot pedals. The dVT, RoSS and RobotiX Mentor created simulated versions of all of these control systems. Each includes systems management services that allow instructors to collect, export and analyze the scores of students using the simulators. Conclusions: This study provides comparative information on the four simulators' functional capabilities. Each device offers unique advantages and capabilities for training robotic surgeons. Each has been the subject of validation experiments, which have been published in the literature. But those do not provide specific details on the capabilities of the simulators, which are necessary for an understanding sufficient to select the one best suited for an organization's needs. This article provides comparative information to assist with that type of selection.",comparative analysis | education | robotic simulator | robotic surgery | training,14,0,Not relevant
