eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor,abstract,include?
2-s2.0-84861095841,10.1007/s10710-011-9147-0,,,Learning local linear Jacobians for flexible and adaptive robot arm control,ar,Article,Stalph P.,,Eberhard Karls Universität Tübingen,Tubingen,Germany,,,,,2012-06-01,June 2012,Genetic Programming and Evolvable Machines,13892576,24208,,Journal,13,2,,137-157,,,21,1,,,,"Successful planning and control of robots strongly depends on the quality of kinematic models, which define mappings between configuration space (e.g. joint angles) and task space (e.g. Cartesian coordinates of the end effector). Often these models are predefined, in which case, for example, unforeseen bodily changes may result in unpredictable behavior. We are interested in a learning approach that can adapt to such changes—be they due to motor or sensory failures, or also due to the flexible extension of the robot body by, for example, the usage of tools. We focus on learning locally linear forward velocity kinematics models by means of the neuro-evolution approach XCSF. The algorithm learns self-supervised, executing movements autonomously by means of goal-babbling. It preserves actuator redundancies, which can be exploited during movement execution to fulfill current task constraints. For detailed evaluation purposes, we study the performance of XCSF when learning to control an anthropomorphic seven degrees of freedom arm in simulation. We show that XCSF can learn large forward velocity kinematic mappings autonomously and rather independently of the task space representation provided. The resulting mapping is highly suitable to resolve redundancies on the fly during inverse, goal-directed control.",NO
2-s2.0-84862060253,10.1007/978-3-642-29041-1_1,,,Layered programming by demonstration and planning for autonomous robot manipulation,ar,Article,Jäkel R.,,Karlsruher Institut für Technologie,Karlsruhe,Germany,,,,,2012-05-24,2012,Springer Tracts in Advanced Robotics,16107438,4900152703,1610742X,Book Series,80,STAR,,1-57,,,0,0,,,,"We propose a layered system for autonomous planning of complex service robot environment manipulation challenges. Motion planning, logic-based planning and probabilistic mission planning are integrated into a single system and planning models are generated using Programming by [human] Demonstration (PbD). The strength of planning models arises from the flexibility they give the robot in dealing with changing scenes and highly varying sequences of events. This comes at the cost of complex planning model representations and generation, however. Manually engineering very general descriptions covering a large sets of challenges is infeasible as is learning them exclusively by robot self-exploration. Thus, we present PbD for planning models together with generation of parameters from analysis of geometric scene properties to tackle that difficulty. Experimental results show the applicability of these techniques on natural learning and autonomous execution of complex robot manipulation challenges.",NO
2-s2.0-84860883413,10.1007/s00779-011-0404-2,,,Tangible interaction and learning: The case for a hybrid approach,ar,Article,Horn M.,,Northwestern University,Evanston,United States,,,,,2012-04-01,April 2012,Personal and Ubiquitous Computing,16174909,22315,,Journal,16,4,,379-389,,,128,0,,,,"Research involving tangible interaction and children has often focused on how tangibles might support or improve learning compared to more traditional methods. In this paper, we review three of our research studies involving tangible computer programming that have addressed this question in a variety of learning environments with a diverse population of children. Through these studies, we identify situations in which tangible interaction seems to offer advantages for learning; however, we have also identify situations in which tangible interaction proves less useful and an alternative interaction style provides a more appropriate medium for learning. Thus, we advocate for a hybrid approach—one that offers teachers and learners the flexibility to select the most appropriate interaction style to meet the needs of a specific situation.",SI
2-s2.0-84857790586,10.1007/s10846-011-9606-0,,,Reasoning with qualitative positional information for domestic domains in the situation calculus,ar,Article,Schiffer S.,,Rheinisch-Westfälische Technische Hochschule Aachen,Aachen,Germany,,,,,2012-04-01,April 2012,Journal of Intelligent and Robotic Systems: Theory and Applications,09210296,24360,15730409,Journal,66,1-2,,273-300,,,33,0,,,,"In this paper, we present a thorough integration of qualitative representations and reasoning for positional information for domestic service robotics domains into our high-level robot control. In domestic settings for service robots like in the ROBOCUP@HOME competitions, complex tasks such as “get the cup from the kitchen and bring it to the living room” or “find me this and that object in the apartment” have to be accomplished. At these competitions the robots may only be instructed by natural language. As humans use qualitative concepts such as “near” or “far”, the robot needs to cope with them, too. For our domestic robot, we use the robot programming and plan language Readylog, our variant of Golog. In previous work we extended the action language Golog, which was developed for the high-level control of agents and robots, with fuzzy set-based qualitative concepts. We now extend our framework to positional fuzzy fluents with an associated positional context called frames. With that and our underlying reasoning mechanism we can transform qualitative positional information from one context to another to account for changes in context such as the point of view or the scale. We demonstrate how qualitative positional fluents based on a fuzzy set semantics can be deployed in domestic domains and showcase how reasoning with these qualitative notions can seamlessly be applied to a fetch-and-carry task in a ROBOCUP@HOME scenario.",NO
2-s2.0-84856009347,10.1016/j.robot.2011.07.022,S0921889011001552,,A 3D shape segmentation approach for robot grasping by parts,ar,Article,Aleotti J.,,Università di Parma,Parma,Italy,,,,,2012-03-01,March 2012,Robotics and Autonomous Systems,09218890,18079,,Journal,60,3,,358-366,,,31,0,,,,"Neuro-psychological findings have shown that human perception of objects is based on part decomposition. Most objects are made of multiple parts which are likely to be the entities actually involved in grasp affordances. Therefore, automatic object recognition and robot grasping should take advantage from 3D shape segmentation. This paper presents an approach toward planning robot grasps across similar objects by part correspondence. The novelty of the method lies in the topological decomposition of objects that enables high-level semantic grasp planning.

In particular, given a 3D model of an object, the representation is initially segmented by computing its Reeb graph. Then, automatic object recognition and part annotation are performed by applying a shape retrieval algorithm. After the recognition phase, queries are accepted for planning grasps on individual parts of the object. Finally, a robot grasp planner is invoked for finding stable grasps on the selected part of the object. Grasps are evaluated according to a widely used quality measure. Experiments performed in a simulated environment on a reasonably large dataset show the potential of topological segmentation to highlight candidate parts suitable for grasping.

Highlights

► A method for planning robot grasps across similar objects by part correspondence. ► Topological decomposition of objects enables high-level semantic grasp planning. ► Reeb graphs are used for object segmentation and grasping. ► Evaluation of part-based object recognition and grasping by part capabilities.",NO
2-s2.0-84856007818,10.1016/j.robot.2011.07.023,S0921889011001576,,Coupled dynamical system based arm-hand grasping model for learning fast adaptation strategies,ar,Article,Shukla A.,,Ecole Polytechnique Fédérale de Lausanne,Lausanne,Switzerland,,,,,2012-03-01,March 2012,Robotics and Autonomous Systems,09218890,18079,,Journal,60,3,,424-440,,,39,0,,,,"Performing manipulation tasks interactively in real environments requires a high degree of accuracy and stability. At the same time, when one cannot assume a fully deterministic and static environment, one must endow the robot with the ability to react rapidly to sudden changes in the environment. These considerations make the task of reach and grasp difficult to deal with. We follow a Programming by Demonstration (PbD) approach to the problem and take inspiration from the way humans adapt their reach and grasp motions when perturbed. This is in sharp contrast to previous work in PbD that uses unperturbed motions for training the system and then applies perturbation solely during the testing phase. In this work, we record the kinematics of arm and fingers of human subjects during unperturbed and perturbed reach and grasp motions. In the perturbed demonstrations, the target’s location is changed suddenly after the onset of the motion. Data show a strong coupling between the hand transport and finger motions. We hypothesize that this coupling enables the subject to seamlessly and rapidly adapt the finger motion in coordination with the hand posture. To endow our robot with this competence, we develop a coupled dynamical system based controller, whereby two dynamical systems driving the hand and finger motions are coupled. This offers a compact encoding for reach-to-grasp motions that ensures fast adaptation with zero latency for re-planning. We show in simulation and on the real iCub robot that this coupling ensures smooth and “human-like” motions. We demonstrate the performance of our model under spatial, temporal and grasp type perturbations which show that reaching the target with coordinated hand–arm motion is necessary for the success of the task.

Highlights

► This work concerns handling fast perturbations in reach-to-grasp tasks. ► We studied how humans react under perturbations. ► We found an inherent coupling between hand and arm movements. ► We presented a coupled dynamical system based model which mimics this coupling.",NO
2-s2.0-85087985877,10.1007/s13218-011-0148-1,,,Integration of programming and learning in a control language for autonomous robots,ar,Article,Kirsch A.,,"Fakultät für Informatik, Technische Universität München",Garching bei Munchen,Germany,,,,,2012-02-01,1 February 2012,KI - Kunstliche Intelligenz,09331875,21101017166,16101987,Journal,26,1,,79-82,,,0,0,,,,"Zusammenfassung

Durch den zunehmenden Einsatz von Robotern in Alltagsumgebungen wird die Fähigkeit sich durch Lernen an dynamische Umgebungen anzupassen immer wichtiger. Die Robot Learning Language (RoLL) schafft die Grundlage für eine nahtlose Integration von Lernen in Robotersteuerungsprogramme. Sie enthält Konstrukte zum Definieren und automatischen Sammeln von Erfahrungsdaten sowie zum Definieren und Ausführen von Lernproblemen. Durch ihre Modularität kann RoLL mit verschiedenen Lernalgorithmen verwendet werden.",NO
2-s2.0-84857498771,10.1007/s10015-011-0996-7,,,An educational tool for interactive parallel and distributed processing,ar,Article,Pagliarini L.,,Technical University of Denmark;Accademia di belli arti-Macerata,Lyngby;Macerata,Denmark;Italy,,,,,2012-02-01,February 2012,Artificial Life and Robotics,14335298,144653,16147456,Journal,16,4,,441-447,,,1,0,,,,"In this article we try to describe how the modular interactive tiles system (MITS) can be a valuable tool for introducing students to interactive parallel and distributed processing programming. This is done by providing a handson educational tool that allows a change in the representation of abstract problems related to designing interactive parallel and distributed systems. Indeed, the MITS seems to bring a series of goals into education, such as parallel programming, distributedness, communication protocols, master dependency, software behavioral models, adaptive interactivity, feedback, connectivity, topology, island modeling, and user and multi-user interaction which can rarely be found in other tools. Finally, we introduce the system of modular interactive tiles as a tool for easy, fast, and flexible hands-on exploration of these issues, and through examples we show how to implement interactive parallel and distributed processing with different behavioral software models such as open loop, randomness-based, rule-based, user interaction-based, and AI- and ALife-based software.",NO
2-s2.0-84857030116,10.1109/TE.2011.2155066,,,Localization of mobile robots using an extended kalman filter in a lEGO NXT,ar,Article,Pinto M.,,Universidade do Porto,Porto,Portugal,,,,,2012-02-01,February 2012,IEEE Transactions on Education,00189359,17344,,Journal,55,1,5782966,135-144,,,37,0,,,,"The inspiration for this paper comes from a successful experiment conducted with students in the “Mobile Robots” course in the fifth year of the integrated Master's program in the Department of Electrical and Computer Engineering, Faculty of Engineering, University of Porto (FEUP), Porto, Portugal. One of the topics in this Mobile Robots course is “ Localization of Mobile Robots using the Extended Kalman Filter in a LEGO NXT,” which gives the students the opportunity to study the concepts of localization. This experiment comes within the framework of teaching localization concepts in mobile robotics and focuses primarily on explaining the Kalman filter concept. It involves a specific tool developed by the authors and based on LEGO NXT technology. The work presented here could be a helpful guide for teaching concepts related to localization in mobile robotics to ensure adequate understanding of the concept and of the use of the extended Kalman filter (EKF). The LegoFeup robot described here was built using a LEGO Mindstorms NXT and tested both in simulation and in real scenarios. Based on the results obtained, the authors concluded that the developed tool is effective in motivating students. The implementation of the tool, the structure of the Mobile Robots course, and the criteria for student assessment are described in this paper.",NO
2-s2.0-84855246435,10.1016/j.robot.2011.11.009,S0921889011002120,,A two-tiered global path planning strategy for limited memory mobile robots,ar,Article,Chand P.,,University of the South Pacific;Victoria University of Wellington,Suva;Wellington,Fiji;New Zealand,,,,,2012-02-01,February 2012,Robotics and Autonomous Systems,09218890,18079,,Journal,60,2,,309-321,,,13,0,,,,"Multi-robot systems have inherent advantages such as the ability to allocate and redistribute tasks across the team of robots. For multi-robot tasks such as exploration of large environments, some of the available robots may only possess simple embedded controllers with limited memory capacity. However, in some situations these limited robots may be required to perform global path planning to navigate beyond localised regions of the large environment. Global path planning can be problematic for the limited memory robots if they are unable to store the entire map in their local memory. Hence, this paper presents and evaluates a two-tiered path planning technique to permit global path planning. A set of local maps describing the global map is searched using a two-tiered A∗ algorithm that executes entirely on the limited memory robots. Planning time, data communication and path length are evaluated for various combinations of local and global maps. Employing smaller local map sizes in large global maps is capable of yielding superior or comparable execution times to non-memory constrained planning.",NO
2-s2.0-84864646058,10.1109/TE.2012.2182998,,,A middleware platform for providing mobile and embedded computing instruction to software engineering students,ar,Article,Mattmann C.,,University of Southern California;Jet Propulsion Laboratory,Los Angeles;Pasadena,United States;United States,,,,,2012-01-27,2012,IEEE Transactions on Education,00189359,17344,,Journal,55,3,6140611,425-435,,,3,0,,,,"As embedded software systems have grown in number, complexity, and importance in the modern world, a corresponding need to teach computer science students how to effectively engineer such systems has arisen. Embedded software systems, such as those that control cell phones, aircraft, and medical equipment, are subject to requirements and constraints that are significantly different from those encountered in the standard desktop computing environment. For example, embedded systems must frequently address challenges that arise from severe resource restrictions (e.g., low memory and network bandwidth), heterogeneous hardware platforms, and safety-critical operations. Software architecture has been shown to be an effective means for coping with such issues, yet traditional courses on embedded software development rarely focus on software architectural abstractions. Instead, they have concentrated on lower-level issues such as programming languages and hardware interfaces. Since 2005 at the University of Southern California, Los Angeles, a unique course has been developed that affords students the opportunity to gain experience and insights on developing software architectures for embedded systems. At the heart of the course is a middleware platform, Prism-MW, that helps students use software architectural principles to construct embedded systems and understand the important challenges of the embedded systems domain. This paper describes this course through the explanation and evaluation of four years of class projects, weaving together the course, the middleware platform, and the relationship of each to three key pedagogical goals that drove the formulation of the course curriculum.",NO
2-s2.0-84898802347,10.1109/TE.2012.2190071,,,Algorithmic Bricks: A tangible robot programming tool for elementary school students,ar,Article,Kwon D.,,Korea University,Seoul,South Korea,,,,,2012-01-01,November 2012,IEEE Transactions on Education,00189359,17344,,Journal,55,4,,474-479,,,24,0,,,,"Tangible programming tools enable children to easily learn the programming process, previously considered to be difficult for them. While various tangible programming tools have been developed, there is still a lack of available tools to help students experience the general programming process. This study therefore developed a tool called Algorithmic Bricks (A-Bricks), to improve the programming language experience by considering and utilizing characteristics of procedural language. Specifically, elements such as sequence, repetition, condition, function, and parameter were used to develop A-Bricks. In addition, this study observed the benefits of A-Bricks and confirmed its potential as a tangible educational programming tool by comparing and analyzing elementary school students using A-Bricks to control groups using Scratch.",SI
2-s2.0-84875981743,10.18848/1835-9795/cgp/v04i01/40322,,,Analytical learning through robotics and the internet,ar,Article,Yuventi J.,,Stanford University,Palo Alto,United States,,,,,2012-01-01,2012,Ubiquitous Learning,18359795,21100236814,,Journal,4,1,,29-42,,,0,0,,,,"Learning computer programming or migrating to a new programming language is often perceived as being difficult. This is partially because the traditional methods of teaching focus more on the memorization of syntax rather than understanding and developing algorithms. Additionally, the traditional tools used to teach programming do little to retain students’ attention or increase confidence in their skills. Building upon previous attempts at innovative computer programming strategies to create an environment that engages the student, this paper presents a method of learning programming through the use of robotics and the Internet. The concept revolves around separating language and function, focusing on the application of analytical thinking toward creating algorithms. The Internet is used to provide ubiquity in learning; creating an easily accessible platform that potentially reduces the cost of learning. This method can provide students with a greater understanding of the logic involved in programming than other approaches. This understanding should make it easier to develop unique/complex software or transition to a new programming language. The direction taken in this paper is governed by the notion that programming helps to develop analytical thinking. The method introduced is not meant solely for computer science students, but also the greater technical audience.",NO
2-s2.0-84868027343,10.1007/s12369-012-0162-y,,,Learning of Planning Models for Dexterous Manipulation Based on Human Demonstrations,ar,Article,Jäkel R.,,Karlsruher Institut für Technologie,Karlsruhe,Germany,,,,,2012-01-01,November 2012,International Journal of Social Robotics,18754791,19500157063,18754805,Journal,4,4,,437-448,,,11,0,,,,"In the human environment service robots have to be able to manipulate autonomously a large variety of objects in a workspace restricted by collisions with obstacles, self-collisions and task constraints. Planning enables the robot system to generalize predefined or learned manipulation knowledge to new environments. For dexterous manipulation tasks the manual definition of planning models is time-consuming and error-prone. In this work, planning models for dexterous tasks are learned based on multiple human demonstrations using a general feature space including automatically generated contact constraints, which are automatically relaxed to consider the correspondence problem. In order to execute the learned planning model with different objects, the contact location is transformed to given object geometry using morphing. The initial, overspecialized planning model is generalized using a previously described, parallelized optimization algorithm with the goal to find a maximal subset of task constraints, which admits a solution to a set of test problems. Experiments on two different, dexterous tasks show the applicability of the learning approach to dexterous manipulation tasks.",NO
2-s2.0-84866429369,10.7227/IJEEE.49.3.6,,,Overcoming the challenges of porting OpenCV to TI's embedded ARM + DSP platforms,ar,Article,Coombs J.,,Texas Instruments,Dallas,United States,,,,,2012-01-01,July 2012,International Journal of Electrical Engineering and Education,00207209,17966,,Journal,49,3,,260-274,,,4,0,,,,"The growing performance and decreasing price of embedded processors are opening many doors, for both developers in the industry and in academia. However, the complexities of these systems can create serious developmental bottlenecks. Sophisticated software packages such as OpenCV can assist in both the functional development and educational aspects of these otherwise complex applications; such tools lend themselves very well to use by the academic community, in particular in providing examples of algorithm implementation. However the task of migrating this software to embedded platforms poses its own challenges. This paper will review how to mitigate some of these issues, including C++ implementation, memory constraints, floating-point support, and opportunities to maximise performance using vendor-optimised libraries and integrated accelerators or co-processors. Finally, we will introduce a new effort by Texas Instruments to optimise vision systems by running OpenCV on the C6000™ digital signal processor architecture. Benchmarks will show the advantage of using the DSP by comparing the performance of a DSP+ARM® system-on-chip (SoC) processor against an ARM-only device.",NO
2-s2.0-84866359455,10.7227/IJEEE.49.3.3,,,Development of brushless d.c. motor drive system for teaching purposes using various PWM control techniques,ar,Article,Tadrist N.,,Université des Sciences et de la Technologie Houari Boumediene,Algiers,Algeria,,,,,2012-01-01,July 2012,International Journal of Electrical Engineering and Education,00207209,17966,,Journal,49,3,,210-231,,,6,0,,,,"In this paper, a test bench was developed for teaching purposes to enhance power electronics and real time control of a brushless d.c. motor. Particular emphasis was placed on PWM techniques and theoretical signal generation using a MATLAB/Simulink environment and experimentally with a DSP programming kit. First, a model was developed in MATLAB/Simulink derived from electrical and mechanical equations for the 120° mode. The control strategies implemented involved two PWM techniques, namely soft and hard switching. The system was built in such a way that students are able to carry out modelling and confirm their results through the test bench using these techniques. The approach used has been effective in generating student satisfaction. Improvements in student learning are evident with regard to the drive control applications, either as a variable speed drive or in embedded systems.",NO
