include?,text_to_proc
0,Shahab M. utilize social virtual reality robot vr music education child highfunctione autism  virtual reality vr technology grow technology use various field psychology education therapy one group potential user vr child autism need education poor social interaction technology could help improve social skill realworld simulation study evaluate feasibility conduct virtual music education program automatic assessment system children autism treatmentresearch center without need purchase robot result possibility offering schedule large scale low cost intervention session conduct five child highfunctione autism range age year old week include baseline session protest training session posttest followup test music education session involve teach different note piece music accord child cooperation accuracy skill level utilize virtual reality robot virtual musical instrument actually analysis psychological test questionnaire conduct psychologist observe slight improvement cognitive skill ceiling effect nevertheless effectiveness propose method prove conduct statistical analysis child performance data music education session obtain use video coding propose automatic assessment system consequently general upward trend musical ability participant show occur session warrant future studies field ar Sharif University of Technology Education and Information Technologies Journal 0
0,Vetiska J. industry educational process  present paper describe individual element industry already introduce educational process student bachelor master degree study workplace faculty mechanical engineering bruno university technology purpose education approach take account requirement industry field sensor system opc ua data collection datum processing metrology simulation automation robotic mm communication virtual reality digital commission individual technology present student form partial task mutually relate result overall overview element industry implementation production system cp Brno University of Technology Lecture Notes in Mechanical Engineering Book Series 0
0,Seenu N. mechatronic design approach lowcost smart reconnaissance robot  mobile robot nowadays majorly use various field service robotic military education surveillance human surveillance limitation difficult human monitor inaccessible area also get tired recent approach surveillance include use static camera monitor particular location cover dead spot area also people try avoid camera sight order overcome drawback surveillance replace mobile robot paper present lowcost smart reconnaissance robot sr able wander around environment capture image perform live stream video daytime also night use camera deploy robot initially robot model simulate use webots robot simulation software performance analyze compare performance robot develop use arduino microcontroller sensor user control robot action use mobile phone laptop internet thing iot also view video information transmit robot use wifi module thus robot use domestic household environment user remotely view abnormal event interpretation human event cp Hindustan Institute of Technology and Science Lecture Notes in Networks and Systems Book Series 0
0,Xefteris S. educational robotic create tangible simulation mix reality space learn daynight cycle  human cognition guide shaped physical manifestation object around act think intertwine integrate digital interaction physical world improve potential perceive understand object space notion facilitate creation mental representation since directly influence way bodily interact object integration educational robotic mix reality tangible interface provide fertile ground develop new learn scenario astronomical phenomenon simple obscure include difficult grasp concept learner usually develop strong misconception paper propose use educational robotic tangible simulation tool earth movement mixed reality space learn daynight cycle order evaluate propose environment pilot study conduct sixteen elementary student datum collect repost test attitude questionnaire semiformal group interview student answer indicate excite impressed propose intervention gain invaluable knowledge daynight cycle cp University of Western Macedonia Advances in Intelligent Systems and Computing Book Series 0
0,Buitrago P.A. mobile arduino robot programming use remote laboratory und pedagogic technical aspect experience use remote mobile robotic laboratory und  national open distance university und autonomous university entity national order special regime zone education center use first remote mobile robotic laboratory base arduino platform incorporating labsland arduino robot alternative addition reduce cost allow coverage student locate distant area difficulty access laboratory practice plan replace use simulator loose microcontroller without robotic structure incorporate new technological tool educational approach due need incorporate learn activity laboratory practice course microprocessor microcontroller month october first week november measure technological pedagogical impact open distance education purpose student participate student conduct survey subsequently result evaluate activity compare rest student carry traditional activity matrix indicator obtain allow measure educational impact use technological tool compare traditional laboratory activity practice course microprocessor microcontroller cp Universidad Nacional Abierta y a Distancia Advances in Intelligent Systems and Computing Book Series 0
0,Dante A. highfidelity patient simulator robotic artificial intelligence discussion paper new challenge enhance learn nursing education  highfidelity simulation educational method base technological mannequin faithfully reproduce physiological physiopathological human body response specific clinical condition nursing care traditional education integrate improvement nursing student knowledge performance selfefficacy selfconfidence problem solve ability critical thinking report well relational empathic skill level realism reach session define degree simulate experience approach reality demonstrate positive association student learn outcomes highfidelity patient simulator computerdriven static mannequin resemble adult child human body dimension however show limit overcome provide realistic fullbody experience nursing education regard robotic artificial intelligence key role technological evolution nursing educational system introduction simulation field open new perspective produce unavoidable redefinition educational standard beneficial implication future nursing care perspective new challenge nursing education discuss paper cp UniversitÃ  degli Studi dell'Aquila Advances in Intelligent Systems and Computing Book Series 0
0,Martinez S.J. design implementation remote virtual laboratory internet apply kuky br iowa r  educational field necessary ability experiment learn process virtual laboratory allow freedom even physical resource paper present webbase virtual laboratory kuky br iowa r robot virtual robotic arm use rep simulator allow control robotic arm use direct cinematic model directly control position joint inverse cinematic model develop use denavithatenberg methodology connection remote api web design user interface labview use external library connection laboratory web user computer internet access labview runtime engine plugin instal experimental test observe system robust since allow stream several user without affect work manage program possible verify performance laboratory link work capacity user computer cp Universidad ECCI Lecture Notes in Electrical Engineering Book Series 0
0,"Mirzae M.R. rosbase motion planner gazebosimulate rescue robot robocup  one key accept fourth industrial revolution call industry proper usage mobile robot use efficient motion planning algorithm importance every year universitie educational institute around world present accomplishment robotic within robocup competition one main purpose rescue robot competition increase awareness robot mission paper present opensource motion planning algorithm simulate robot operating system ros platform propose planner develop semiautonomous algorithm rescue robot utilize robocup competition gazebosimulate result validate efficient performance present algorithm cp K. N. ToosiÂ UniversityÂ of Technology 2020 21st International Conference on Research and Education in Mechatronics, REM 2020 Conference Proceeding 0"
0,CaÃ±as J.M. opensource drone programming course distance engineering education  article present full course autonomous aerial robotic inside roboticsacademy framework drone programming course openaccess readytouse teacherstudent teachlearn drone program free student may program diverse drone computer without physical presence course unmanned aerial vehicle uav application essentially practical intelligence reside software part therefore propose course emphasize drone program practical learning comprise collection exercise resemble drone application real life follow road visual landing people search rescue include correspond background theory course successfully teach five year student several university engineering degree exercise course also validate three aerial robotic competition include international one roboticsacademy also briefly present paper open framework distance robotic learn engineering degree design practical complement typical online video massive open online course moon educational content build upon robot operating system ros middleware de facto standard robot programming powerful d gazebo simulator widely use python programming language additionally roboticsacademy suitable tool gamifie learn online robotic competition include several competitive exercise automatic assessment tool view fulltext ar Universidad Rey Juan Carlos Electronics (Switzerland) Journal 0
0,MacÃ­as GarcÃ­a M.E. cyberphysical lab enhance engineering training education  current market requirement manufacture sector boost development adoption digital tool increasingly every day train simulation software automatic system process optimization system validation musthave production center fast machine integration rapid prototyping find advantage competitor new form system validation know virtual commissioning emulate real industrial environment thank computer software provide user safe place train deal problem real world technology represent opportunity specialized education virtual commissioning could use equip control automation laboratorie student trainee automation test validate debug control automation strategy thus student learn technology save training center money need costly industrial machinery reinforce student understanding student practice become regular habit global economy many develop nation whose primary economic activity production feel pressure train laboratory resourcepoor commonly equip improvise homemade system represent student face real industrial environment article describe creation process capability scope set new virtual commissioning element within cyberphysical laboratory cpl cpl merger physical laboratory equip real industrial controller virtual environment emulate industrial process use engineering training automation control robotic purpose achieve low cost effective use laboratory physical system cyberphysical laboratory device totally connect operating space real virtual interact other research paper also show example situ cyberphysical laboratory capability scope usage contribution student training ar Tecnologico de Monterrey International Journal on Interactive Design and Manufacturing Journal 0
0,Li P. research robot boxing movement simulation base kinect sensor  process continuous development robot technology widely use aerospace medical education service industry relationship robot people get closer close improvement robot intelligence process continuous learn external knowledge since introduction humancomputer interaction technology provide technical support human research robot paper firstly take tai chi example analyze deconstruct standard tai chi putter movement obtain correspond movement parameter information human body depth image bone structure obtain kinect sensor human joint position datum record coordinate datum send brain robot thereby realize imitation learning robot push movement tai chi experimental result show propose method simulate practice process inversion tai chi well analyze shortcoming practice process promote development sport ar Sichuan Normal University Eurasip Journal on Wireless Communications and Networking Journal 0
0,Lee M. necessity feasibility care training assistant robot cataro shoulder complex joint multidof elderly care education  geriatric population expand caregiver require accurate training handle care elderly however student lack method acquire necessary skill experience well sufficient opportunity practice real human being investigate necessity feasibility care training assistant robot care education develop simulate robot shoulder complex joint multidof study five expert year experience elderly care participate dataacquisition process acquire information aspect glenohumeral angle well sternoclavicular joint torque expert perform three type rangeofmotion exercise elevationdepression sternoclavicular joint ii extension flexion glenohumeral joint iii lateral medial rotation glenohumeral joint experimental result show quantitative result exercise significantly different expert moreover observe even experienced professional need consistent care education base quantitative datum feedback thus confirm necessity feasibility care training assistant robot improve skill require elderly care ar Ritsumeikan University Biwako-Kusatsu Campus ROBOMECH Journal Journal 0
1,"Souza J.D.T. assess reality gap robotic simulation educational purpose  use simulation visualization tool validate mechanical design programming robot become increasingly important use many scenario simulator collaborate research machine learn deep learning training professional nowadays covid pandemic social distancing simulator great potential tool help teach robotic however research indicate user may encounter difference happen simulator real life effect call reality gap article aim investigate effect gap educational robotic simulator name virtual robotic toolkit vrt well impact test algorithms propose strategy reduce impact effect three batch test carry two different robot simulation real world capturing datum sensor tachometer infrare gyroscope light sensor possible compare performance two scenario difference finally entire test field model make available along video test cp Universidade Federal de Pernambuco 2020 Latin American Robotics Symposium, 2020 Brazilian Symposium on Robotics and 2020 Workshop on Robotics in Education, LARS-SBR-WRE 2020 Conference Proceeding 0"
0,Mizukami M. movement control omnidirectional mobile mechanism pipeinspect ion robot small diameter pipe  recent year need pipe inspection increase various inpipe inspection robot study develop several research educational institutes company far however verification example move mechanism consider runthrough performance pipe fitting bent pipes branch pipe propose omnidirectional mobile mechanism pipeinspection robot small diameter pipe movement control method pipe omnidirectional movement mechanism equip four independent rotary wheel discuss show approach movement control vehicle applicable straight spiral rotary movement confirm model omnidirectional mechanism simulation use propose method ar nan Seimitsu Kogaku Kaishi/Journal of the Japan Society for Precision Engineering Journal 0
0,Heljakka K.I. play opposite uncanny empathic response learn companiontechnology robot dog vs real dog  social robot become increasingly common contexts education healthcare paper report finding first stage exploratory study conduct n finnish preschooler age year multidisciplinary study intertwine area early education pedagogic smart toy interactive technology employ commercial robot dog real dog study potential artificial live entity support facilitate socialemotional learning sel guide playful learning approach perform research intervention include facilitation observation video recording three play session organize marchmay preliminary finding indicate guide play robot dog support sel conversation human relationship interaction real dog facilitate empathic response spontaneous reaction animal behavior contribution research understanding robotic dog live dog may assist simulate human interaction human animal interaction way suitable support playful learn socialemotional competency cp University of Turku School of Cultural Production and Landscape Studies CHI PLAY 2020 - Extended Abstracts of the 2020 Annual Symposium on Computer-Human Interaction in Play Conference Proceeding 0
0,"Su Y.H. collaborative robotic toolkit crt   open software framework surgical robotic research  robotassiste minimally invasive surgery make substantial impact operating room past decade high dexterity small tool size impact adoption minimally invasive technique recent year intelligence different level surgical robot autonomy emerge thank medical robotic endeavor numerous academic institution lead surgical robot company accelerate interaction within research community prevent repeat development propose collaborative robotic toolkit crt common api ravenii da vince research kit dark two open surgical robot platform instal institution worldwide crt broaden include robot device include simulate robotic system industrial robot common api community software infrastructure research education cut edge humanrobot collaborative area semiautonomous teleoperation medical robotic paper present concept design detail integration crt physical robot system simulation platform cp Mount Holyoke College Proceedings - 4th IEEE International Conference on Robotic Computing, IRC 2020 Conference Proceeding 0"
1,CaÃ±as J.M. rosbase open tool intelligent robotic education  paper present openaccess platform practical learning intelligent robotic engineering degree roboticsacademy comprise collection exercise include recent service robot application real life different robot autonomous car drones vacuum cleaner use robot operating system ros middleware de facto standard robot programming d gazebo simulator python programming language exercise software template develop perform auxiliary task graphical interface connection sensor actuator time code etc also host student code use template student focus robot intelligence instance perception control algorithm without waste time auxiliary detail little educational value template code ros node jupiter notebook ready use web browser reference solution illustrative purpose automatic assessment tool gamification also develop introductory course intelligent robotic elaborate content available ready use roboticsacademy include reactive behavior path plan localglobal navigation selflocalization algorithm roboticsacademy provide valuable complement master class blend learn massive online open course moon online video course devote address theoretical content open educational tool connect theory practical robot application suitable use distance education roboticsacademy successfully use several subject undergraduate master degree engineering course addition preuniversity pilot course view fulltext ar Universidad Rey Juan Carlos Applied Sciences (Switzerland) Journal 0
0,"Spoljaric M. interactive approach digital logic  digital system design store process communicate information digital form widely use different sphere everyday life science include education process control digital instruments computer science robotic telecommunications etc order understand digital system operate basic knowledge digital circuit logical function require digital logic topic share three course teach virovitica college mathematics digital electronics computer architecture part undergraduate professional study electrical engineering paper interactive approach topic digital logic present achieve step student introduce theoretical background topic computational simulation digital circuit perform base theory simulation practical exercise laboratory electrical engineering do cp Virovitica College 2020 43rd International Convention on Information, Communication and Electronic Technology, MIPRO 2020 - Proceedings Conference Proceeding 0"
0,"Ma'arif A. visionbase line follow robot webot  line follow robot one popular robot commonly use educational purpose widely use sensor robot photoelectric sensor however irrelevant along development autonomous vehicle robotic vision robotic vision robot obtain information image processing camera camera instal line follow robot aim detect imagebase line navigate robot follow path paper propose method image preprocesse along robot action linefollowe robot include image preprocesse dilation erosion gaussian filter contour search centerline definition detect path line determine proper robot action implementation robot simulate use webot simulator opencv python utilize design line detection system robot movement simulation result show method implement properly robot follow different type path line zigzag dot curved line resolution croppedimage frame fundamental parameter detect path line cp Universitas Ahmad Dahlan Proceeding - 1st FORTEI-International Conference on Electrical Engineering, FORTEI-ICEE 2020 Conference Proceeding 0"
0,Roberts A.P.J. say physical say functional let call whole thing simulation application divide lack common language  simulation utilise various domain purpose train research education entertainment continue technological advancement along strive high level immersion transfer user satisfaction drive design increasingly complex simulator economic viability portability usability simulator simultaneously decrease prompt contemporary examination simulator fidelity simulator fidelity poorly understand construct notorious lack clear definition wide range terminology use interchangeably subtle difference functionality language use always clearly outline current manuscript comprehensive review literature inform clear definition fidelity validity transfer term use include definition table connectivity outline knowledge tree aim promote usage clearly interpretable standardise terminology professional researcher alike boundary current work acknowledge suggest future research examine construct fidelity transfer validity relation computational robotic automation simulation immediate extension current work capture requirement develop effective training intervention govern operator use automation use interactive simulation ar University of Southampton Theoretical Issues in Ergonomics Science Journal 0
0,Ireland A. posthuman ecology simulate human patient eidolons empathy fidelity uncanny embodiment nursing practice  reproduction human form universal practice amongst human ecology millennia past year popular culture consider imaginary consequence danger humanity humanness replicate autonomous human form faithfully today seductive allude technologically advance simulate human body advance robotic artificial intelligence bring closer face possibility alongside simultaneous aversion fascination possibility autonomous simulate human form may become indistinguishable human being deeproote uncanniness automaton strange familiarity pleasant childhood imagine playing doll simulate human body often enrol medical nursing education model assumption make simulation teaching space seem close clinical space possible allow student practise potentially harmful clinical skill without cause harm human patient however similar simulate human body may appear live breathe human tension embodiment particularly human attribute replication persist computerize human patient simulator enrol teach people develop necessary attribute compassion empathy care human being article explore uncanny ecology simulate human patient nursing education present posthuman analysis practices nurse educator enroll digital object teach guide selection heuristic offer mode interview digital object analysis enrol gather anecdote unravel translation attune ways uncanny posthuman assemblage become powerful mode know mobilize learn human attribute within uncanny posthuman ecology ar University of Stirling Explorations in Media Ecology Journal 0
0,Jing C. control method base sensor datum stable walking wipe robot port environment  spite great improvement walking ability merge various walking technique still exist large gap wipe robot person particular complex environment port development perfection control theory base detect sensor datum great significance achieve ideal walk ability robot study detect sensor datum merge establish dynamic model force moment connect rod accurately calculate programming actual amp trajectory datum send slave computer robot control thereby enhance walk stability present simulation result prove wipe robot successfully realize stable walking ar Guizhou University of Finance and Economics Journal of Coastal Research Journal 0
0,Hernandez-de-Menendez M. engineering education smart technology review  industry i define integration information communication technology industrial advance develop digital factory transform production process make efficient green flexible manufacturer must overcome barrier implement approach one lack qualified talent manage i systems paper review stateofart i goal research describe technology enable i analyze human talent need qualification competenciesskill require manage i system describe course practice lead university engineering technology teaching develop i workforce provide look future present trend related education i autonomous robots simulation horizontal vertical integration industrial internet thing additive manufacturing augment reality cybersecurity cloud big datum analytic technology consider pillar i approach nowadays universitie already offer program relate i range aim present concept i student learn handle related technology real work global enterprise i still evolve present glimpse require base current state continuous review i environment necessary determine opportunely path follow consequence need emerge areas curricula content competency requirement technology ar Tecnologico de Monterrey International Journal on Interactive Design and Manufacturing Journal 0
0,Aktar Mispa T. educational robot kiddo learn draw enhance interactive handwriting scenario primary school child  handwriting drawing skill play significant role early childhood education recent study suggest robot currently use education social robot write directly way human hold pen move paper besides use indirect medium touch screen share environment create noticeable barrier natural interaction work develop new robot name kiddo sit desk animatronic face write whiteboard marker provide share environment robot child write simultaneously robot learn write shape maneuvering hand like human create vivid image child interact use cnn base model recognize draw shape collect national curriculum bengali english mathematics textbook bangladesh learn new shape child demonstration artificial intelligence system build generate path trajectory camera image experiment three kid draw know new shape share whiteboard kiddo also able recognize draw know shape learn draw new shape child demonstration simulation real cp nan IRCE 2020 - 2020 3rd International Conference on Intelligent Robotics and Control Engineering Conference Proceeding 0
0,Homa-Agostinho I.R. digital information communication technologies didactic resource mathematic curriculum  article present result project entitle mathematic education digital technologies conduct research group curriculum study mathematics education gecem graduate program science mathematic education ppgecim universidad luterana brasil ultra canvas state rio grande sul brazil understand technology change way human interact think regard world around mathematic education need adapt reality problem motivate gecem group conduct research digital technology didactic possibilitie digital technology mathematic education basic high education paper analyze pedagogical potential digital technology computer tablet smartphone calculator mathematic education basic high education teacher training course use mathematic support professional training methodology use research exploratory analyticaldescriptive approach instance robotic arm simulator use learn object visualization triangle area didactic sequence statistic environmental education topic result use digital resource positive resource potential use teacher classroom therefore explore didactic plan basic education well train teacher ar Universidade Luterana do Brasil Uniciencia Journal 0
1,Dey U. webbase integrate gui d model cinematic study control robotic manipulator  simulationbase analysis robotic system emerge broadly past year application educational research enhancement currently many simulation tool available different research area robotic advantage limitation study methodology create webbase graphical user interface propose motion simulation cinematic study industrial robotic manipulator describe simple straightforward modeling technique use web graphic library create threedimensional virtual model robot within html canvas motion simulation different kind analysis positional cinematic study programmable universal machine assembly puma industrial robot develop interface present help understand whole framework implement quickly simulation system development essential aspect cinematic study serial chain robot inverse cinematic analysis demonstrate puma robot possible solution finally interface connect actual system follow webbase communication architecture remote control actual puma robot ar Indian Institute of Technology Kharagpur Computer Applications in Engineering Education Journal 0
0,"Chang Y.H.I. explore vrbase pid programming approach teach industrial robotic manufacture education  traditionally industrial robot program online use teach pendant offline use programming software novice user use teach pendant ideal user move robot specific point along desire tool path record key location robot program process novice user grasp basic robot program offline software often use program simulate complex robot motion without sacrifice time robot point space specify cp Illinois State University ASEE Annual Conference and Exposition, Conference Proceedings Conference Proceeding 0"
0,"Ouyang J. work progress experiential module use texas instrument robotic system learn kit ti rsk teach control system  control system usually seniorlevel class electrical engineering serve open gate towards important engineering field robotic student usually take class excite learn practical control system however course content traditionally compose theoretical concept steadystate error transient response stability analysis rootlocus technique frequencyresponse technique nyquist code controller design require advance mathematical cp University of California, Davis ASEE Annual Conference and Exposition, Conference Proceedings Conference Proceeding 0"
0,"Shibberu Y. mathematics content undergraduate course deep learning  deep learning also know neural network key ai technology increasingly important science engineering application undergraduate curriculum science engineering place emphasize analytical model often derive first principle contrast deep learn base empirical model learn large number training example empirical model currently use solve challenging problem autonomous drive unstructured environment enable cp Rose Hulman Institute Technology ASEE Annual Conference and Exposition, Conference Proceedings Conference Proceeding 0"
1,"Mikhail M. incorporate visual component simulation software programming industrial robot course  robotic software simulation capability expand every day become key part integration process robot integrator technical understanding leverage technology robot simulation software provide many advantage traditional cad system feature much functionality advantage use simulation huge proof concept proof design reduce integration cost short system delivery time one poplar powerful simulation software visual cp Purdue University Northwest ASEE Annual Conference and Exposition, Conference Proceedings Conference Proceeding 0"
0,"Berry C.A. practical skill student mechatronic robotic education  september fourth final workshop future mechatronic robotic education fore hold lawrence technological university southfield mi workshop organize faculty several university financial support industry partner national science foundation purpose workshop create cohesive effort among mechatronic robotic course minor degree program mechatronic robotic engineering be cp Rose Hulman Institute Technology ASEE Annual Conference and Exposition, Conference Proceedings Conference Proceeding 0"
0,"Johnston L. student perception mathematical modeling complete two joint robot computer simulation task rtp  engineer frequently utilize computer simulation part design process model understand behavior complex system simulation also important tool develop student understand modeling strengthen intuition problem solve complex domain project use twojoint robot arm problem accompany computer simulation demonstrate ap bc calculus student would use calculus concept simultaneously cartesian polar coordinate cp Boise State University ASEE Annual Conference and Exposition, Conference Proceedings Conference Proceeding 0"
0,Xin G. energy optimization control algorithm underwater vehicle base model predictive control  order improve accuracy energy optimization control underwater vehicle improve run stability underwater vehicle energy optimization control method underwater vehicle base model predictive control propose underwater dynamic kinematic model underwater vehicle construct fuzzy feedback error tracking fusion control law underwater vehicle construct phase offset inertia torque constraint parameter fuzzy parameter fusion adaptive parameter adjustment method use optimize energy control model prediction underwater vehicle state adaptive correction energy optimization control design underwater motion robot realize model parameter prediction adaptive weight information processing simulation result show energy optimization control design underwater vehicle use method good adaptability eliminate angle azimuth error energy optimization control reduce energy cost robot improve stability control accuracy energy output robot ar University of Sanya Journal of Coastal Research Journal 0
