:INCLUDE?,:doi,:title,:description,:subtype,:coverDate,:publicationName,:authkeywords,:eid,:pii,:pubmed_id,:subtypeDescription,:creator,:afid,:affilname,:affiliation_city,:affiliation_country,:author_count,:author_names,:author_ids,:author_afids,:coverDisplayDate,:issn,:source_id,:eIssn,:aggregationType,:volume,:issueIdentifier,:article_number,:pageRange,:openaccess,:fund_acr,:fund_no,:fund_sponsor,:citedby_count,:YEAR,:URL,:FULL_ARTICLE,:NOTES
NO,10.1016/j.artint.2015.04.004,Efficient interactive decision-making framework for robotic applications,"The inclusion of robots in our society is imminent, such as service robots. Robots are now capable of reliably manipulating objects in our daily lives but only when combined with artificial intelligence (AI) techniques for planning and decision-making, which allow a machine to determine how a task can be completed successfully. To perform decision making, AI planning methods use a set of planning operators to code the state changes in the environment produced by a robotic action. Given a specific goal, the planner then searches for the best sequence of planning operators, i.e., the best plan that leads through the state space to satisfy the goal. In principle, planning operators can be hand-coded, but this is impractical for applications that involve many possible state transitions. An alternative is to learn them automatically from experience, which is most efficient when there is a human teacher. In this study, we propose a simple and efficient decision-making framework for this purpose. The robot executes its plan in a step-wise manner and any planning impasse produced by missing operators is resolved online by asking a human teacher for the next action to execute. Based on the observed state transitions, this approach rapidly generates the missing operators by evaluating the relevance of several cause–effect alternatives in parallel using a probability estimate, which compensates for the high uncertainty that is inherent when learning from a small number of samples. We evaluated the validity of our approach in simulated and real environments, where it was benchmarked against previous methods. Humans learn in the same incremental manner, so we consider that our approach may be a better alternative to existing learning paradigms, which require offline learning, a significant amount of previous knowledge, or a large number of samples.",ar,2017-06-01,Artificial Intelligence,Decision making | Human-like task | Logic-based planning | Online learning | Robotics,2-s2.0-84928556182,S0004370215000661,,Article,Agostini A.,60204228;60030064,Bernstein Center for Computational Neuroscience Göttingen;CSIC-UPC - Instituto de Robotica e Informatica Industrial (IRII),Gottingen;Barcelona,Germany;Spain,3,"Agostini, Alejandro;Torras, Carme;Wörgötter, Florentin",24528329400;7003421114;7003438923,60204228;60030064;60204228,1 June 2017,43702,23675,,Journal,247,,,187-212,1,FP7,600578,Seventh Framework Programme,20,2017,https://www.sciencedirect.com/science/article/pii/S0004370215000661?via%3Dihub,,Excluido por no educación
NO,10.1177/0278364917691112,Structured learning for spoken language understanding in human-robot interaction,"Robots are slowly becoming apart of everyday life, being marketed for commercial applications such as telepresence, cleaning or entertainment. Thus, the ability to interact via natural language with non-expert users is becoming a key requirement. Even if user utterances can be efficiently recognized and transcribed by automatic speech recognition systems, several issues arise in translating them into suitable robotic actions and most of the existing solutions are strictly related to a specific scenario. In this paper, we present an approach to the design of natural language interfaces for human robot interaction, to translate spoken commands into computational structures that enable the robot to execute the intended request. The proposed solution is achieved by combining a general theory of language semantics, i.e. frame semantics, with state-of-the-art methods for robust spoken language understanding, based on structured learning algorithms. The adopted data driven paradigm allows the development of a fully functional natural language processing chain, that can be initialized by re-using available linguistic tools and resources. In addition, it can be also specialized by providing small sets of examples representative of a target newer domain. A systematic benchmarking resource, in terms of a rich and multi-layered spoken corpus has also been created and it has been used to evaluate the natural language processing chain. Our results show that our processing chain, trained with generic resources, provides a solid baseline for command understanding in a service robot domain. Moreover, when domain-dependent resources are provided to the system, the accuracy of the achieved interpretation always improves.",ar,2017-06-01,International Journal of Robotics Research,Human-robot interaction | Machine learning for natural language understanding | Natural language processing | Spoken language understanding,2-s2.0-85021634555,,,Article,Bastianelli E.,60032350;60027509,"Sapienza Università di Roma;Università degli Studi di Roma ""Tor Vergata""",Rome;Rome,Italy;Italy,5,"Bastianelli, Emanuele;Castellucci, Giuseppe;Croce, Danilo;Basili, Roberto;Nardi, Daniele",56011343300;56010606000;27567467600;7004280182;7006582655,60027509;60027509;60027509;60027509;60032350,June 2017,2783649,18050,17413176,Journal,36,5-7,,660-683,0,,undefined,,5,2017,https://journals.sagepub.com/doi/10.1177/0278364917691112,,Excluido por no robótica educativa
NO,10.1007/s10514-016-9601-1,Robot life-long task learning from human demonstrations: a Bayesian approach,"Programming a robot to act intelligently is a challenging endeavor beyond the skill level of most people. Trained roboticists generally program robots for a single purpose. Enabling robots to be programmed by non-experts and to perform multiple tasks are both open challenges in robotics. This paper presents a framework that allows life-long robot task learning from demonstrations. To make that possible, the paper introduces a task representation based on influence diagrams, and a method to transfer knowledge between similar tasks. A novel approach to influence diagram learning is presented along with a demonstration method that allows non-experts to teach tasks to the robot in an intuitive manner. The results from three user studies validate that the approach enables both a simulated and a physical robot to learn complex tasks from a variety of teachers, refining those tasks during on-line performance, successfully completing the tasks in different environments, and transferring knowledge from one task to another.",ar,2017-06-01,Autonomous Robots,Bayesian networks | Learning from demonstration | Life long Learning,2-s2.0-84980006497,,,Article,Koenig N.,60029311;113385022,University of Southern California;Open Source Robotics Foundation,Los Angeles;Mountain View,United States;United States,2,"Koenig, Nathan;Matarić, Maja J.",14066111800;7005611984,113385022;60029311,1 June 2017,9295593,18016,15737527,Journal,41,5,,1173-1188,0,NSF,IIS-1117279,National Science Foundation,19,2017,https://link.springer.com/article/10.1007%2Fs10514-016-9601-1,,Excluido por no robótica educativa
NO,10.1016/j.entcom.2017.04.002,"Entertainment, engagement, and education: Foundations and developments in digital and physical spaces to support learning through making","Making is a relatively new concept applied to describe the increasing attention paid to constructing activities to enable entertaining, and engaging learning. Making focuses on the process that occurs in digital and/or physical spaces that is not always learning oriented, but enables qualities such as problem solving, design thinking, collaboration, and innovation, to name a few. Contemporary technical and infrastructural developments, such as Hackerspaces, Makerspaces, TechShops, and FabLabs, and the appearance of tools such as wearable computing, robotics, 3D printing, microprocessors, and intuitive programming languages, posit making as a very promising research area to support learning processes, especially towards the acquisition of 21st-century learning competences. Collecting learning evidence via rigorous multidimensional and multidisciplinary case studies will allow us to better understand and improve the value of making and the role of the various digital and physical spaces. Drawing from our experience with a recent workshop that used making as a pathway to foster joyful engagement and creativity in learning (Make2Learn), we present the developments, as well as the four selected contributions of this special issue. The paper further draws attention to the great potential and need for research in the area of making to enable entertaining, and engaging, and learning.",ar,2017-06-01,Entertainment Computing,Constructionist | Creativity | Entertainment technologies | Knowledge construction | Learning technologies | Maker movement | Technological fluency,2-s2.0-85017343169,S1875952117300307,,Article,Giannakos M.,60029616;60013141,Aarhus Universitet;Norges Teknisk-Naturvitenskapelige Universitet,Aarhus;Trondheim,Denmark;Norway,3,"Giannakos, Michail N.;Divitini, Monica;Iversen, Ole Sejer",36462343600;6701525223;18935314900,60013141;60013141;60029616,June 2017,18759521,19400158708,,Journal,21,,,77-81,0,,255129/H20,Norges Forskningsråd,9,2017,https://www.sciencedirect.com/science/article/abs/pii/S1875952117300307?via%3Dihub,https://drive.google.com/file/d/1-js3TuilR23dw0j-WKbqPqAbkGyYZh0y/view?usp=sharing,"Revisar a ver si proponen alguna herramienta de programación para robótica educativa

Excluido por no hablar de ninguna herramienta específica (apenas mencionan Scratch y Scratch Junior como ejemplos de low floor/high ceiling)"
SI,10.1016/j.compedu.2017.03.001,Assessing elementary students’ computational thinking in everyday reasoning and robotics programming,"Based on a framework of computational thinking (CT) adapted from Computer Science Teacher Association's standards, an instrument was developed to assess fifth grade students' CT. The items were contextualized in two types of CT application (coding in robotics and reasoning of everyday events). The instrument was administered as a pre and post measure in an elementary school where a new humanoid robotics curriculum was adopted by their fifth grade. Results show that the instrument has good psychometric properties and has the potential to reveal student learning challenges and growth in terms of CT.",ar,2017-06-01,Computers and Education,Computational thinking | Evaluation methodologies | Programming and programming languages | Robotics education,2-s2.0-85014423231,S0360131517300490,,Article,Chen G.,60029251;60025488;60014966,University of Miami;The University of Utah;Peking University,Coral Gables;Salt Lake City;Beijing,United States;United States;China,6,"Chen, Guanhua;Shen, Ji;Barth-Cohen, Lauren;Jiang, Shiyan;Huang, Xiaoting;Eltoukhy, Moataz",57226068797;55903576800;36994439400;57191191820;55787259400;50461249000,60029251;60029251;60025488;60029251;60014966;60029251,1 June 2017,3601315,17645,,Journal,109,,,162-175,1,,undefined,,141,2017,https://www.sciencedirect.com/science/article/abs/pii/S0360131517300490?via%3Dihub,https://drive.google.com/file/d/1RFnD3hF1Dta9wD94ZabJCl6keFPj6tK-/view?usp=sharing,
NO,10.1007/s11633-016-0983-5,Reactive navigation of underwater mobile robot using ANFIS approach in a manifold manner,Learning and self-adaptation ability is highly required to be integrated in path planning algorithm for underwater robot during navigation through an unspecified underwater environment. High frequency oscillations during underwater motion are responsible for nonlinearities in dynamic behavior of underwater robot as well as uncertainties in hydrodynamic coefficients. Reactive behaviors of underwater robot are designed considering the position and orientation of both target and nearest obstacle from robot’s current position. Human like reasoning power and approximation based learning skill of neural based adaptive fuzzy inference system (ANFIS) has been found to be effective for underwater multivariable motion control. More than one ANFIS models are used here for achieving goal and obstacle avoidance while avoiding local minima situation in both horizontal and vertical plane of three dimensional workspace. An error gradient approach based on input-output training patterns for learning purpose has been promoted to spawn trajectory of underwater robot optimizing path length as well as time taken. The simulation and experimental results endorse sturdiness and viability of the proposed method in comparison with other navigational methodologies to negotiate with hectic conditions during motion of underwater mobile robot.,ar,2017-06-01,International Journal of Automation and Computing,Adaptive fuzzy inference system (ANFIS) | error gradient | obstacle avoidance behavior | optimal path | steering angle | target seeking behavior,2-s2.0-85015659483,,,Article,Kundu S.,60000934,National Institute of Technology Rourkela,Rourkela,India,2,"Kundu, Shubhasri;Parhi, Dayal R.",36700050500;6603245659,60000934;60000934,1 June 2017,14768186,5200152703,17518520,Journal,14,3,,307-320,0,,undefined,,13,2017,https://link.springer.com/article/10.1007%2Fs11633-016-0983-5,,Excluido por no robótica educativa
NO,10.1016/j.jpdc.2016.12.028,SAUCE: A web application for interactive teaching and learning of parallel programming,"Prevalent hardware trends towards parallel architectures and algorithms create a growing demand for graduate students familiar with the programming of concurrent software. However, learning parallel programming is challenging due to complex communication and memory access patterns as well as the avoidance of common pitfalls such as dead-locks and race conditions. Hence, the learning process has to be supported by adequate software solutions in order to enable future computer scientists and engineers to write robust and efficient code. This paper discusses a selection of well-known parallel algorithms based on C++11 threads, OpenMP, MPI, and CUDA that can be interactively embedded in an HPC or parallel computing lecture using a unified framework for the automated evaluation of source code—namely the “System for AUtomated Code Evaluation” (SAUCE). SAUCE is free software licensed under AGPL-3.0 and can be downloaded at https://github.com/moschlar/SAUCE free of charge.",ar,2017-07-01,Journal of Parallel and Distributed Computing,Black box testing | Parallel programming | Teaching and learning | Web application,2-s2.0-85011101723,S0743731517300060,,Article,Hundt C.,60031216,Johannes Gutenberg-Universität Mainz,Mainz,Germany,3,"Hundt, Christian;Schlarb, Moritz;Schmidt, Bertil",56313733900;57024044100;7402828880,60031216;60031216;60031216,1 July 2017,7437315,25621,,Journal,105,,,163-173,0,,undefined,,10,2017,https://www.sciencedirect.com/science/article/abs/pii/S0743731517300060?via%3Dihub,,Excluido por no robótica
NO,10.1021/acssynbio.6b00304,BioBlocks: Programming Protocols in Biology Made Easier,"The methods to execute biological experiments are evolving. Affordable fluid handling robots and on-demand biology enterprises are making automating entire experiments a reality. Automation offers the benefit of high-throughput experimentation, rapid prototyping, and improved reproducibility of results. However, learning to automate and codify experiments is a difficult task as it requires programming expertise. Here, we present a web-based visual development environment called BioBlocks for describing experimental protocols in biology. It is based on Google's Blockly and Scratch, and requires little or no experience in computer programming to automate the execution of experiments. The experiments can be specified, saved, modified, and shared between multiple users in an easy manner. BioBlocks is open-source and can be customized to execute protocols on local robotic platforms or remotely, that is, in the cloud. It aims to serve as a de facto open standard for programming protocols in Biology.",ar,2017-07-21,ACS Synthetic Biology,Blockly | high-level programming language | lab automation | rapid prototyping | reproducibility | Scratch,2-s2.0-85025170322,,28051850,Article,Gupta V.,60028442,Universidad Politécnica de Madrid,Madrid,Spain,4,"Gupta, Vishal;Irimia, Jesús;Pau, Iván;Rodríguez-Patón, Alfonso",57195072572;57195063023;24833218800;8882795400,60028442;60028442;60028442;60028442,21 July 2017,,21100218506,21615063,Journal,6,7,,1230-1232,0,,undefined,,8,2017,https://pubs.acs.org/doi/10.1021/acssynbio.6b00304,,Excluido por no robótica educativa (biología)
NO,10.1002/cae.21828,Robot kinematics made easy using RoboAnalyzer software,"RoboAnalyzer is a software based on 3D model of robots. It was developed primarily for teaching and learning of robot mechanics, although it is robust enough for the use by researchers as well. The motive behind the development of RoboAnalyzer was mainly to help teachers and students get started with teaching/learning of robotics using template-based skeleton models or CAD models of serial robots. This minimizes the time otherwise spent on modeling, programming, and simulating the robots from scratch. In this article, we focus on the visualization of the Denavit Hartenberg (DH) parameters used to define a robot’s architecture, and the modeling of the robot’s input-output motion characteristics, that is, robot kinematics, using them. The advantages of using RoboAnalyzer to overcome several challenges of learning robotics in a classroom environment are also discussed.",ar,2017-09-01,Computer Applications in Engineering Education,Education | Robot kinematics | Robotics | Simulation | Visualization,2-s2.0-85018273240,,,Article,Othayoth R.S.,60107595;60032730;60031838;60005248,"Amrita Vishwa Vidyapeetham University, Bangalore;Indian Institute of Technology Delhi;Kyushu Institute of Technology;Johns Hopkins University",Bengaluru;New Delhi;Kitakyushu;Baltimore,India;India;Japan;United States,4,"Othayoth, Ratan S.;Chittawadigi, Rajeevlochana G.;Joshi, Ravi P.;Saha, Subir K.",57194026073;56031351300;57117139700;7403281143,60005248;60107595;60031838;60032730,September 2017,10613773,18156,10990542,Journal,25,5,,669-680,0,IIITD,undefined,Indian Institute of Technology Delhi,20,2017,https://onlinelibrary.wiley.com/doi/10.1002/cae.21828,,Excluido por no educación
NO,10.1109/TCYB.2016.2633318,"Evolutionary Metric-Learning-Based Recognition Algorithm for Online Isolated Persian/Arabic Characters, Reconstructed Using Inertial Pen Signals","The development of sensors with the microelectromechanical systems technology expedites the emergence of new tools for human-computer interaction, such as inertial pens. These pens, which are used as writing tools, do not depend on a specific embedded hardware, and thus, they are inexpensive. Most of the available inertial pen character recognition approaches use the low-level features of inertial signals. This paper introduces a Persian/Arabic handwriting character recognition system for inertial-sensor-equipped pens. First, the motion trajectory of the inertial pen is reconstructed to estimate the position signals by using the theory of inertial navigation systems. The position signals are then used to extract high-level geometrical features. A new metric learning technique is then adopted to enhance the accuracy of character classification. To this end, a characteristic function is calculated for each character using a genetic programming algorithm. These functions form a metric kernel classifying all the characters. The experimental results show that the performance of the proposed method is superior to that of one of the state-of-the-art works in terms of recognizing Persian/Arabic handwriting characters.",ar,2017-09-01,IEEE Transactions on Cybernetics,Character recognition | evolutionary algorithms | geometrical feature | inertial sensor | metric learning,2-s2.0-85006954122,,27992357,Article,Sepahvand M.,60021967,Razi University,Kermanshah,Iran,3,"Sepahvand, Majid;Abdali-Mohammadi, Fardin;Mardukhi, Farhad",57192592627;56282590600;35109701900,60021967;60021967;60021967,September 2017,21682267,21100274221,,Journal,47,9,7782360,2872-2884,0,,undefined,,17,2017,https://ieeexplore.ieee.org/document/7782360,,Excluido por nada que ver
NO,10.1007/s10758-017-9328-x,Introducing Computational Thinking to Young Learners: Practicing Computational Perspectives Through Embodiment in Mathematics Education,"A science, technology, engineering, and mathematics-influenced classroom requires learning activities that provide hands-on experiences with technological tools to encourage problem-solving skills (Brophy et al. in J Eng Educ 97(3):369–387, 2008; Matarić et al. in AAAI spring symposium on robots and robot venues: resources for AI education, pp 99–102, 2007). The study aimed to bring computational thinking, an applicable skill set in computer science, into existing mathematics and programming education in elementary classrooms. An essential component of computational thinking is the ability to think like a computer scientist when confronted with a problem (Grover and Pea in Educ Res 42(1):38–43. doi:10.3102/0013189X12463051, 2013). Computational perspectives (Berland and Wilensky in J Sci Educ Technol 24(5):628–647. doi:10.1007/s10956-015-9552-x, 2015) refer to the frame of reference programmers or computer scientists adopt when approaching a problem. The study examined the effects of taking computational perspectives through various degrees of embodied activities (i.e., full vs. low) on students’ achievement in mathematics and programming. The study employed a 2 (full vs. low embodiment) × 2 (with vs. without computational perspective taking) factorial condition to evaluate four learning conditions from a combination of embodiment and computational perspective-taking practice. The results from this experimental study (N = 66 kindergarten and first graders) suggest that full-embody activities combined with the practice of computational perspective-taking in solving mathematics problem improved mathematics understanding and programming skills as demonstrated in Scrath Jr. among novice young learners. Moreover, the practice of using a computational perspective significantly improved students’ understanding of core programming concepts regardless of the level of embodiment. The article includes recommendations for how to make the computational thinking process more concrete and relevant within the context of a standard curriculum, particularly mathematics.",ar,2017-10-01,"Technology, Knowledge and Learning",Computational perspectives | Computational thinking | Elementary education | Embodied cognition | Mathematics | Programming | STEM,2-s2.0-85026454177,,,Article,Sung W.,60030162,Columbia University,New York,United States,3,"Sung, Woonhee;Ahn, Junghyun;Black, John B.",57193702403;57193699770;57184835100,60030162;60030162;60030162,1 October 2017,22111662,19700200832,22111670,Journal,22,3,,443-463,0,,undefined,,36,2017,https://link.springer.com/article/10.1007%2Fs10758-017-9328-x,,Excluido por no robótica
NO,10.1145/3133886,Synthesis of data completion scripts using finite tree automata,"In application domains that store data in a tabular format, a common task is to fill the values of some cells using values stored in other cells. For instance, such data completion tasks arise in the context of missing value imputation in data science and derived data computation in spreadsheets and relational databases. Unfortunately, end-users and data scientists typically struggle with many data completion tasks that require non-trivial programming expertise. This paper presents a synthesis technique for automating data completion tasks using programming-by-example (PBE) and a very lightweight sketching approach. Given a formula sketch (e.g., AVG(?1, ?2)) and a few input-output examples for each hole, our technique synthesizes a program to automate the desired data completion task. Towards this goal, we propose a domain-specific language (DSL) that combines spatial and relational reasoning over tabular data and a novel synthesis algorithm that can generate DSL programs that are consistent with the input-output examples. The key technical novelty of our approach is a new version space learning algorithm that is based on finite tree automata (FTA). The use of FTAs in the learning algorithm leads to a more compact representation that allows more sharing between programs that are consistent with the examples. We have implemented the proposed approach in a tool called DACE and evaluate it on 84 benchmarks taken from online help forums. We also illustrate the advantages of our approach by comparing our technique against two existing synthesizers, namely Prose and Sketch.",ar,2017-10-01,Proceedings of the ACM on Programming Languages,Data imputation | Finite tree automata | Program synthesis | Programming-by-example,2-s2.0-85120140135,,,Article,Wang X.,60021726;60013372,Microsoft Research;The University of Texas at Austin,Redmond;Austin,United States;United States,3,"Wang, Xinyu;Dillig, Isil;Singh, Rishabh",57026634100;22936636100;55496964900,60013372;60013372;60021726,October 2017,,21101020042,24751421,Journal,1,OOPSLA,62,,1,NSF,#1453386,Norsk Sykepleierforbund,16,2017,https://doi.org/10.1145/3133886,,Excluido por nada que ver
NO,10.1142/S0218488517500295,FML-based Dynamic Assessment Agent for Human-Machine Cooperative System on Game of Go,"In this paper, we demonstrate the application of Fuzzy Markup Language (FML) to construct an FML-based Dynamic Assessment Agent (FDAA), and we present an FML-based Human-Machine Cooperative System (FHMCS) for the game of Go. The proposed FDAA comprises an intelligent decision-making and learning mechanism, an intelligent game bot, a proximal development agent, and an intelligent agent. The intelligent game bot is based on the open-source code of Facebook's Darkforest, and it features a representational state transfer application programming interface mechanism. The proximal development agent contains a dynamic assessment mechanism, a GoSocket mechanism, and an FML engine with a fuzzy knowledge base and rule base. The intelligent agent contains a GoSocket engine and a summarization agent that is based on the estimated win rate, real-time simulation number, and matching degree of predicted moves. Additionally, the FML for player performance evaluation and linguistic descriptions for game results commentary are presented. We experimentally verify and validate the performance of the FDAA and variants of the FHMCS by testing five games in 2016 and 60 games of Google's Master Go, a new version of the AlphaGo program, in January 2017. The experimental results demonstrate that the proposed FDAA can work effectively for Go applications.",ar,2017-10-01,"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems",decision support engine | FAIR darkforest Go engine | Fuzzy markup language | prediction agent | robot engine,2-s2.0-85028932070,,,Article,Lee C.S.,60017991;60005038;119147434,National University of Tainan Taiwan;Tokyo Metropolitan University;Haifong Weiqi Academy,Tainan;Hachioji;,Taiwan;Japan;Taiwan,10,"Lee, Chang Shing;Wang, Mei Hui;Yang, Sheng Chi;Hung, Pi Hsia;Lin, Su Wei;Shuo, Nan;Kubota, Naoyuki;Chou, Chun Hsun;Chou, Ping Chiang;Kao, Chia Hsiu",26435840500;36244824800;57189888478;24175941600;55493284200;55606185800;7202158579;57190388934;53979375300;57193681948,60017991;60017991;60017991;60017991;60017991;60005038;60005038;119147434;119147434;60017991,1 October 2017,2184885,24326,,Journal,25,5,,677-705,0,MOST,104-2622-E-024-005-CC2,"Ministry of Science and Technology, Taiwan",10,2017,https://www.worldscientific.com/doi/abs/10.1142/S0218488517500295,,Excluido por no robótica educativa
SI,10.1109/TLT.2016.2627565,Web environment for programming and control of a mobile robot in a remote laboratory,"Remote robotics laboratories have been successfully used for engineering education. However, few of them use mobile robots to to teach computer science. This article describes a mobile robot Control and Programming Environment (CPE) and its pedagogical applications. The system comprises a remote laboratory for robotics, an online programming tool, and a virtual learning environment. It allows experiments with a mobile robot to be carried out, tested and validated remotely, using a simple graphic interface via web browser, without additional software installation on the user's computer. Students can control and manipulate the robot with simple commands without worrying about hardware details or use C/C)) programming language to develop complex programs. The robot has been built with inexpensive components and has sensors that enable its use in several experiments. CPE can be used in contextualized teaching in various subjects of computer science, both in class and at distance. A practical application of the whole system using CPE, introducing programming concepts, is also described in this paper. The initial assessment of the environment as an educational tool shows high levels of interest among our students, an improvement in their academic scores, and potential for application in the context of computing education, when properly introduced as a learning tool.",ar,2017-10-01,IEEE Transactions on Learning Technologies,Bistance learning | Computing education | Mobile robots | Online programming | Remote laboratories,2-s2.0-85044304242,,,Article,Dos Santos Lopes M.S.,60013710;112612440,Universidade Federal da Bahia;State University of Southwest Bahia (UESB),Salvador;Salvador,Brazil;Brazil,5,"Dos Santos Lopes, Maísa Soares;Gomes, Iago Pacheco;Trindade, Roque M.P.;Da Silva, Alzira F.;Lima, Antonio C.De C.",57201312434;57201314844;36807201600;57213535474;24328775100,112612440;112612440;112612440;112612440;60013710,October-December 2017,19391382,19700167026,,Journal,10,4,,526-531,0,,undefined,,16,2017,https://ieeexplore.ieee.org/document/7740908,https://drive.google.com/file/d/1XEU3rppIbY94k6B7is5Z7wnvI_0alJ5_/view?usp=sharing,Describe un laboratorio remoto de robótica educativa? Parece interesante para el futuro de mendieta
NO,10.1109/TCYB.2017.2653800,Improving the Critic Learning for Event-Based Nonlinear H<inf>∞</inf> Control Design,"In this paper, we aim at improving the critic learning criterion to cope with the event-based nonlinear H∞ state feedback control design. First of all, the H∞ control problem is regarded as a two-player zero-sum game and the adaptive critic mechanism is used to achieve the minimax optimization under event-based environment. Then, based on an improved updating rule, the event-based optimal control law and the time-based worst-case disturbance law are obtained approximately by training a single critic neural network. The initial stabilizing control is no longer required during the implementation process of the new algorithm. Next, the closed-loop system is formulated as an impulsive model and its stability issue is handled by incorporating the improved learning criterion. The infamous Zeno behavior of the present event-based design is also avoided through theoretical analysis on the lower bound of the minimal intersample time. Finally, the applications to an aircraft dynamics and a robot arm plant are carried out to verify the efficient performance of the present novel design method.",ar,2017-10-01,IEEE Transactions on Cybernetics,adaptive systems | adaptive/approximate dynamic programming | critic network | event-based design | H  control ∞ | learning criterion | neural control,2-s2.0-85011706654,,28166513,Article,Wang D.,60027363;60018486;60018273;60010806,University of Chinese Academy of Sciences;Institute of Automation Chinese Academy of Sciences;University of Science and Technology Beijing;University of Rhode Island,Beijing;Beijing;Beijing;Kingston,China;China;China;United States,3,"Wang, Ding;He, Haibo;Liu, Derong",55713390200;24802077000;55857948600,60018486-60027363;60010806;60018273,October 2017,21682267,21100274221,,Journal,47,10,7836355,3417-3428,1,NSF,ECCS 1053717,National Science Foundation,44,2017,https://ieeexplore.ieee.org/document/7836355,,Excluido por nada que ver
NO,10.1109/TASE.2017.2731371,Toward Socially Aware Robot Navigation in Dynamic and Crowded Environments: A Proactive Social Motion Model,"Safe and social navigation is the key to deploying a mobile service robot in a human-centered environment. Widespread acceptability of mobile service robots in daily life is hindered by robot's inability to navigate in crowded and dynamic human environments in a socially acceptable way that would guarantee human safety and comfort. In this paper, we propose an effective proactive social motion model (PSMM) that enables a mobile service robot to navigate safely and socially in crowded and dynamic environments. The proposed method considers not only human states (position, orientation, motion, field of view, and hand poses) relative to the robot but also social interactive information about human-object and human group interactions. This allows development of the PSMM that consists of elements of an extended social force model and a hybrid reciprocal velocity obstacle technique. The PSMM is then combined with a path planning technique to generate a motion planning system that drives a mobile robot in a socially acceptable manner and produces respectful and polite behaviors akin to human movements. Note to Practitioners - In this paper, we validated the effectiveness and feasibility of the proposed proactive social motion model (PSMM) through both simulation and real-world experiments under the newly proposed human comfortable safety indices. To do that, we first implemented the entire navigation system using the open-source robot operating system. We then installed it in a simulated robot model and conducted experiments in a simulated shopping mall-like environment to verify its effectiveness. We also installed the proposed algorithm on our mobile robot platform and conducted experiments in our office-like laboratory environment. Our results show that the developed socially aware navigation framework allows a mobile robot to navigate safely, socially, and proactively while guaranteeing human safety and comfort in crowded and dynamic environments. In this paper, we examined the proposed PSMM with a set of predefined parameters selected based on our empirical experiences about the robot mechanism and selected social environment. However, in fact a mobile robot might need to adapt to various contextual and cultural situations in different social environments. Thus, it should be equipped with an online adaptive interactive learning mechanism allowing the robot to learn to auto-adjust their parameters according to such embedded environments. Using machine learning techniques, e.g., inverse reinforcement learning [1] to optimize the parameter set for the PSMM could be a promising research direction to improve adaptability of mobile service robots in different social environments. In the future, we will evaluate the proposed framework based on a wider variety of scenarios, particularly those with different social interaction situations and dynamic environments. Furthermore, various kinds of social cues and signals introduced in [2] and [3] will be applied to extend the proposed framework in more complicated social situations and contexts. Last but not least, we will investigate different machine learning techniques and incorporate them in the PSMM in order to allow the robot to automatically adapt to diverse social environments.",ar,2017-10-01,IEEE Transactions on Automation Science and Engineering,Human comfortable safety | mobile service robots | proactive social motion model (PSMM) | social robots | socially aware robot navigation,2-s2.0-85028458074,,,Article,Truong X.,60121871;60072089;60007655,Le Quy Don Technical University;UNIVERSITI BRUNEI DARUSSALAM;University of Prince Edward Island,Hanoi;Bandar Seri Begawan;Charlottetown,Viet Nam;Brunei Darussalam;Canada,2,"Truong, Xuan Tung;Ngo, Trung Dung",56581881400;15755660100,60072089-60121871;60072089-60007655,October 2017,15455955,17340,,Journal,14,4,8011466,1743-1760,0,,undefined,,65,2017,https://ieeexplore.ieee.org/document/8011466,,Excluido por no educación
NO,10.1016/j.patrec.2017.06.003,Learning robot tasks with loops from experiences to enhance robot adaptability,"Learning robot task models with loops helps to increase both the applicability and the compactness of task knowledge. In the framework of Experience-Based Planning Domains (EBPDs), previously formalized by the authors, an approach was developed for learning and exploiting high-level robot task models (the so-called activity schemata) with loops. The paper focuses on the development of: (i) a method—Contiguous Non-overlapping Longest Common Subsequence (CNLCS)—based on the Longest Common Prefix (LCP) array for detecting loops of actions in a robot experience; and (ii) an abstract planner to instanciate a learned task model with loops for solving particular instances of the same task with varying numbers of objects. Demonstrations of this system in both real and simulated environments prove its potentialities.",ar,2017-11-01,Pattern Recognition Letters,Conceptualization | Experience-based planning domains | Learning and planning | Loop detection | Robot task learning with loops,2-s2.0-85020823138,S016786551730199X,,Article,Mokhtari V.,60079336,Instituto de Engenharia Electrónica e Telemática de Aveiro,Aveiro,Portugal,3,"Mokhtari, Vahid;Seabra Lopes, Luís;Pinho, Armando J.",23091346000;7102509123;7003780614,60079336;60079336;60079336,1 November 2017,1678655,24825,,Journal,99,,,57-66,0,FCT,SFRH/BD/94184/2013,Fundação para a Ciência e a Tecnologia,4,2017,https://www.sciencedirect.com/science/article/abs/pii/S016786551730199X?via%3Dihub,,Excluido por no educación
