doi,subtype,creator,affilname,publicationName,aggregationType,include?,proc_pubmed_id,proc_abstract,proc_title
10.1007/s10710-011-9147-0,ar,Stalph P.,Eberhard Karls UniversitÃ¤t TÃ¼bingen,Genetic Programming and Evolvable Machines,Journal,0,0,success plan control robot strong depend qualiti cinemat model defin map configur space eg joint angl task space eg cartesian coordin end effector often model predefin case exampl unforeseen bodili chang may result unpredict behavior interest learn approach adapt changesb due motor sensori failur also due flexibl extens robot bodi exampl usag tool focus learn local linear forward veloc kinemat model mean neuroevolut approach xcsf algorithm learn selfsupervis execut movement autonom mean goalbabbl preserv actuat redund exploit movement execut fulfil current task constraint detail evalu purpos studi perform xcsf learn control anthropomorph seven degre freedom arm simul show xcsf learn larg forward veloc cinemat map autonom rather independ task space represent provid result map high suitabl resolv redund fli invers goaldirect control,learn local linear jacobian flexibl adapt robot arm control
10.1007/978-3-642-29041-1_1,ar,JÃ¤kel R.,Karlsruher Institut fÃ¼r Technologie,Springer Tracts in Advanced Robotics,Book Series,0,0,propos layer system autonom plan complex servic robot environ manipul challeng motion plan logicbas plan probabilist mission plan integr singl system plan model generat use program human demonstr pid strength plan model aris flexibl give robot deal chang scene high vari sequenc event come cost complex plan model represent generat howev manual engin general descript cover larg set challeng infeas learn exclus robot selfexplor thus present pid plan model togeth generat paramet analysi geometr scene properti tackl difficulti experiment result show applic techniqu natur learn autonom execut complex robot manipul challeng,layer program demonstr plan autonom robot manipul
10.1007/s00779-011-0404-2,ar,Horn M.,Northwestern University,Personal and Ubiquitous Computing,Journal,1,0,research involv tangibl interact children often focus tangibl might support improv learn compar tradit method paper review three research studi involv tangibl comput program address question varieti learn environ divers popul children studi identifi situat tangibl interact seem offer advantag learn howev also identifi situat tangibl interact prove less use altern interact style provid appropri medium learn thus advoc hybrid approachon offer teacher learner flexibl select appropri interact style meet need specif situat,tangibl interact learn case hybrid approach
10.1007/s10846-011-9606-0,ar,Schiffer S.,Rheinisch-WestfÃ¤lische Technische Hochschule Aachen,Journal of Intelligent and Robotic Systems: Theory and Applications,Journal,0,0,paper present thorough integr qualit represent reason posit inform domest servic robot domain highlevel robot control domest set servic robot like robocuphom competit complex task get cup kitchen bring live room find object apart accomplish competit robot may instruct natur languag human use qualit concept near far robot need cope too domest robot use robot program plan languag readylog variant goog previous work extend action languag goog develop highlevel control agent robot fuzzi setbas qualit concept extend framework posit fuzzi fluent associ posit context call frame under reason mechan transform qualit posit inform one context anoth account chang context point view scale demonstr qualit posit fluent base fuzzi set semant deploy domest domain showcas reason qualit notion seamless appli fetchandcarri task robocuphom scenario,reason qualit posit inform domest domain situat calculus
10.1016/j.robot.2011.07.022,ar,Aleotti J.,UniversitÃ  di Parma,Robotics and Autonomous Systems,Journal,0,0,neuropsycholog find shown human percept object base part decomposit object made multipl part like entiti actual involv grasp afford therefor automat object recognit robot grasp take advantag d shape segment paper present approach toward plan robot grass across similar object part correspond novelti method lie topolog decomposit object enabl highlevel semant grasp plan particular given d model object represent initi segment comput reef graph automat object recognit part annot perform appli shape retriev algorithm recognit phase queri accept plan grass individu part object final robot grasp planner invok find stabl grass select part object grass evalu accord wide use qualiti measur experi perform simul environ reason larg dataset show potenti topolog segment highlight candid part suitabl grasp highlight method plan robot grass across similar object part correspond topolog decomposit object enabl highlevel semant grasp plan reef graph use object segment grasp evalu partbas object recognit grasp part capabl,d shape segment approach robot grasp part
10.1016/j.robot.2011.07.023,ar,Shukla A.,Ecole Polytechnique FÃ©dÃ©rale de Lausanne,Robotics and Autonomous Systems,Journal,0,0,perform manipul task interact real environ requir high degre accuraci stabil time one can not assum fulli determinist static environ one must endo robot abil react rapid sudden chang environ consider make task reach grasp difficult deal with follow program demonstr pid approach problem take inspir way human adapt reach grasp motion perturb sharp contrast previous work pid use unperturb motion train system appli perturb sole test phase work record kinemat arm finger human subject unperturb perturb reach grasp motion perturb demonstr target locat chang sudden onset motion data show strong coupl hand transport finger motion hypothes coupl enabl subject seamless rapid adapt finger motion coordin hand postur endo robot compet develop coupl dynam system base control wherebi two dynam system drive hand finger motion coupl offer compact encod reachtograsp motion ensur fast adapt zero latenc replan show simul real cub robot coupl ensur smooth humanlik motion demonstr perform model spatial tempor grasp type perturb show reach target coordin handarm motion necessari success task highlight work concern handl fast perturb reachtograsp task studi human react perturb found inher coupl hand arm movement present coupl dynam system base model mimic coupl,coupl dynam system base armhand grasp model learn fast adapt strategi
10.1007/s13218-011-0148-1,ar,Kirsch A.,"FakultÃ¤t fÃ¼r Informatik, Technische UniversitÃ¤t MÃ¼nchen",KI - Kunstliche Intelligenz,Journal,0,0,zusammenfassung durch den zunehmenden einsatz von robotern alltagsumgebungen wird die f higkeit sich durch lernen dynamisch umgebungen anzupassen immer wichtig die robot learn languag roll schafft die grundlag fr ein nahtlos integr von lernen robotersteuerungsprogramm sie tenth lt konstrukt zum definieren und automatischen sammeln von erfahrungsdaten sowi zum definieren und ausfhren von lernproblemen durch ihr modularit kann roll mit verschiedenen lernalgorithmen verwendet werden,integr program learn control languag autonom robot
10.1007/s10015-011-0996-7,ar,Pagliarini L.,Technical University of Denmark;Accademia di belli arti-Macerata,Artificial Life and Robotics,Journal,0,0,articl tri describ modular interact tile system it valuabl tool introduc student interact parallel distribut process program done provid hanson educ tool allow chang represent abstract problem relat design interact parallel distribut system inde it seem bring seri goal educ parallel program distributed communic protocol master depend softwar behavior model adapt interact feedback connect topolog island model user multius interact rare found tool final introduc system modular interact tile tool easi fast flexibl hanson explor issu exampl show implement interact parallel distribut process differ behavior softwar model open loop randomnessbas rulebas user interactionbas ai alifebas softwar,educ tool interact parallel distribut process
10.1109/TE.2011.2155066,ar,Pinto M.,Universidade do Porto,IEEE Transactions on Education,Journal,0,0,inspir paper come success experi conduct student mobil robot cours fifth year integr master program depart electr comput engin faculti engin univers porto feud porto portug one topic mobil robot cours local mobil robot use extend salman filter lego nxt give student opportun studi concept local experi come within framework teach local concept mobil robot focus primarili explain salman filter concept involv specif tool develop author base lego nxt technolog work present could help guid teach concept relat local mobil robot ensur adequ understand concept use extend salman filter ek legofeup robot describ built use lego mindstorm nxt test simul real scenario base result obtain author conclud develop tool effect motiv student implement tool structur mobil robot cours criteria student assess describ paper,local mobil robot use extend salman filter lego nxt
10.1016/j.robot.2011.11.009,ar,Chand P.,University of the South Pacific;Victoria University of Wellington,Robotics and Autonomous Systems,Journal,0,0,multirobot system inher advantag abil alloc redistribut task across team robot multirobot task explor larg environ avail robot may possess simpl embed control limit memori capac howev situat limit robot may requir perform global path plan navig beyond localis region larg environ global path plan problemat limit memori robot unabl store entir map local memori henc paper present evalu twotier path plan techniqu permit global path plan set local map describ global map search use twotier a algorithm execut entir limit memori robot plan time data communic path length evalu various combin local global map employ smaller local map size larg global map capabl yield superior compar execut time nonmemori constrain plan,twotier global path plan strategi limit memori mobil robot
10.1109/TE.2012.2182998,ar,Mattmann C.,University of Southern California;Jet Propulsion Laboratory,IEEE Transactions on Education,Journal,0,0,embed softwar system grown number complex import modern world correspond need teach comput scienc student effect engin system arisen embed softwar system control cell phone aircraft medic equip subject requir constraint signific differ encount standard desktop comput environ exampl embed system must frequent address challeng aris sever resourc restrict eg low memori network bandwidth heterogen hardwar platform safetycrit oper softwar architectur shown effect mean cope issu yet tradit cours embed softwar develop rare focus softwar architectur abstract instead concentr lowerlevel issu program languag hardwar interfac sinc univers southern california los angel uniqu cours develop afford student opportun gain experi insight develop softwar architectur embed system heart cours middlewar platform prismmw help student use softwar architectur principl construct embed system understand import challeng embed system domain paper describ cours explan evalu four year class project weav togeth cours middlewar platform relationship three key pedagog goal drove formul cours curriculum,middlewar platform provid mobil embed comput instruct softwar engin student
10.1109/TE.2012.2190071,ar,Kwon D.,Korea University,IEEE Transactions on Education,Journal,1,0,tangibl program tool enabl children easili learn program process previous consid difficult them various tangibl program tool develop still lack avail tool help student experi general program process studi therefor develop tool call algorithm brick brick improv program languag experi consid util characterist procedur languag specif element sequenc repetit condit function paramet use develop brick addit studi observ benefit brick confirm potenti tangibl educ program tool compar analyz elementari school student use brick control group use scratch,algorithm brick tangibl robot program tool elementari school student
10.18848/1835-9795/cgp/v04i01/40322,ar,Yuventi J.,Stanford University,Ubiquitous Learning,Journal,0,0,learn comput program migrat new program languag often perceiv difficult partial tradit method teach focus memor syntax rather understand develop algorithm addit tradit tool use teach program littl retain student attent increas confid skill build upon previous attempt innov comput program strategi creat environ engag student paper present method learn program use robot internet concept revolv around separ languag function focus applic analyt think toward creat algorithm internet use provid ubiqu learn creat easili access platform potenti reduc cost learn method provid student greater understand logic involv program approach understand make easier develop uniquecomplex softwar transit new program languag direct taken paper govern notion program help develop analyt think method introduc meant sole comput scienc student also greater technic audienc,analyt learn robot internet
10.1007/s12369-012-0162-y,ar,JÃ¤kel R.,Karlsruher Institut fÃ¼r Technologie,International Journal of Social Robotics,Journal,0,0,human environ servic robot abl manipul autonom larg varieti object workspac restrict collis obstacl selfcollis task constraint plan enabl robot system general predefin learn manipul knowledg new environ dexter manipul task manual definit plan model timeconsum errorpron work plan model dexter task learn base multipl human demonstr use general featur space includ automat generat contact constraint automat relax consid correspond problem order execut learn plan model differ object contact locat transform given object geometri use morphin initi overspeci plan model general use previous describ parallel optim algorithm goal find maxim subset task constraint admit solut set test problem experi two differ dexter task show applic learn approach dexter manipul task,learn plan model dexter manipul base human demonstr
10.7227/IJEEE.49.3.6,ar,Coombs J.,Texas Instruments,International Journal of Electrical Engineering and Education,Journal,0,0,grow perform decreas price embed processor open mani door develop industri academia howev complex system creat serious development bottleneck sophist softwar packag opencv assist function develop educ aspect otherwis complex applic tool lend well use academ communiti particular provid exampl algorithm implement howev task migrat softwar embed platform pose challeng paper review mitig issu includ c implement memori constraint floatingpoint support opportun maximis perform use vendoroptimis librari integr acceler coprocessor final introduc new effort texa instrument optim vision system run opencv c digit signal processor architectur benchmark show advantag use dsp compar perform dsparm systemonchip soc processor armon devic,overcom challeng sort opencv ti embed arm dsp platform
10.7227/IJEEE.49.3.3,ar,Tadrist N.,UniversitÃ© des Sciences et de la Technologie Houari Boumediene,International Journal of Electrical Engineering and Education,Journal,0,0,paper test bench develop teach purpos enhanc power electron real time control brushless dc motor particular emphasi place pm techniqu theoret signal generat use matlabsimulink environ experiment dsp program kit first model develop matlabsimulink deriv electr mechan equat mode control strategi implement involv two pm techniqu name soft hard switch system built way student abl carri model confirm result test bench use techniqu approach use effect generat student satisfact improv student learn evid regard drive control applic either variabl speed drive embed system,develop brushless dc motor drive system teach purpos use various pm control techniqu
10.14198/jopha.2012.6.1.06,ar,QuintÃ­a P.,Universidad de Santiago de Compostela,Journal of Physical Agents,Journal,0,0,articl describ propos achiev fast robot learn interact environ propos suitabl continu learn procedur tri limit instabl appear everi time robot encount new situat seen befor hand user establish degre explor usual reinforc learn would prevent continu learn procedur propos use ensembl learner abl combin dynam program reinforc learn predict robot make mistak inform use dynam evolv set control polici determin robot action,learn real robot environ interact
10.1299/kikaic.78.2450,ar,Tsusaka Y.,,"Nihon Kikai Gakkai Ronbunshu, C Hen/Transactions of the Japan Society of Mechanical Engineers, Part C",Journal,0,0,futur robot system intend use domest housekeep elder care flexibl adapt environ uncertain may fluctuat howev current robot system industri domain oper limit environ well arrang littl uncertainti requir special knowledg teachingpend robot program robot motion instructor obvious requir appropri homeus robot paper propos new method insitu robot motion modif handguid instruct propos method human demonstr intuit modifi robot motion oper adapt environment chang daili domest task actual tri use lightweight pneumat robot arm experiment result show effect propos method,develop insitu robot motion modif method handguid instruct
10.1007/s10489-010-0257-9,ar,Kang J.G.,Pohang University of Science and Technology,Applied Intelligence,Journal,0,0,paper present neuroevolutionari optim slam neoslam novel approach slam use neural network nn autonom learn nonlinear motion model nois statist measur data nn train use evolutionari optim learn residu error motion model ad odometri data obtain full motion model estim stochast optim use accommod kind cost function predict correct perform simultan within neural framework implicit integr motion sensor model evolutionari program ep algorithm use progress refin neural model generat trajectori consist actual sensor measur learn process neoslam requir prior knowledg motion sensor model show consist good perform regardless robot sensor nois type furthermor neoslam requir data associ step loop close crucial slam algorithm still generat accur map experi various complex environ widelyvari type nois show learn capabl neoslam ensur perform consist less sensit nois accur slam method,new approach simultan local map build implicit model learn use neuro evolutionari optim
10.7227/IJEEE.49.3.5,ar,RodrÃ­guez-ResÃ©ndiz J.,Universidad AutÃ³noma de QuerÃ©taro,International Journal of Electrical Engineering and Education,Journal,0,0,articl methodolog construct simpl serv loop motion control applic suitabl educ applic present entir hardwar implement demonstr focus microcontrollerbas c serv amplifi field programm gate arraydigit signal processor fpgadsp motion control novel hybrid architecturebas digit stage featur provid lowcost serv drive high perform control use basi industri applic communic comput control exploit project order perform simultan adapt serv tune usb protocol put oper user frontend high speed sampl frequenc requir pc acquir posit feedback signal softwar interfac develop use educ softwar enabl featur limit motion profil also supervisori control data acquisit scara topolog system classic proportionalintegralderiv control pid program dsp order ensur proper track refer low high speed dc motor furthermor certain block embed pga result three import technolog signal process featur permit engin student understand sever concept cover theoret cours,approach motion control applic base advanc programm devic
10.1007/s10846-011-9568-2,ar,De Filippis L.,Politecnico di Torino,Journal of Intelligent and Robotic Systems: Theory and Applications,Journal,0,0,graphsearch algorithm develop s s wide use mani field robot video game a algorithm shall mention import solut explicit orient motionrobot improv logic graph search heurist principl insid loop nevertheless one import drawback a algorithm resid head constraint connect grid characterist differ solut develop last year cope problem base postprocess algorithm improv graphsearch algorithm itself import one theta refin graph search allow obtain path ani head last two year flight mechan research group politecnico di torino studi implement differ path plan algorithm matlab base plan tool develop collect four separ approach geometr predefin trajectori manual waypoint definit automat waypoint distribut ie optim camera payload capabl comprehens base algorithm use generat path minim risk collis orograph obstacl tool name cube exploit digit elev map dem assess risk map use generat waypoint sequenc uav autopilot order improv base algorithm solut extend tridimension environ implement effect graph search base theta paper applic basic theta tridimension path plan present particular algorithm appli orograph obstacl urban environ evalu solut differ kind obstacl final comparison a algorithm introduc metric algorithm perform,path plan strategi uav d environ
10.1080/08993408.2013.847152,ar,Mason R.,School of Business and Tourism,Computer Science Education,Journal,1,0,paper report seri introductori program workshop initi target femal high school student utilis lego mindstorm robot cognit load theori lt appli instruct design workshop control experi also conduct investig aspect interfac result indic truncat interfac led better learn novic programm measur test perform particip well enhanc shift selfefficaci lower percept difficulti also transfer effect anoth program environ alic argu result indic novic programm mere presenc onscreen addit redund entiti act form tacit distract thus impend learn util lt analys design deliv aspect comput program environ instruct materi discuss,mindstorm robot applic cognit load theori introductori program
10.1080/08993408.2013.847226,ar,Touretzky D.,Carnegie Mellon University,Computer Science Education,Journal,1,0,modern robot like today smartphon complex devic intric softwar system introductori robot program cours must evolv reflect realiti teach student make use sophist tool robot provid rather reimplement basic algorithm paper focus teach tekkotsu open sourc robot applic develop framework design specif educ curriculum describ also taught use ros robot oper system wide use robot research,robot comput scientist   big idea
10.1109/TE.2013.2255877,ar,Larraza-Mendiluze E.,Universidad del Pais Vasco,IEEE Transactions on Education,Journal,0,0,inputoutput io subsystem import topic within comput architectur ca determin comput interact environ reason comput scientist engin must understand comput manag interact usual taught introductori ca cours cours mani differ style teach rang pure theoret complet practic ca cours consid paper alreadi appli practic approach time io subsystem student must abl describ poll interrupt handl lowlevel program howev program level oper system os driven comput possibl without familiar kernel driver usual case student introductori cours fortun mani bare special embed system around osdriven propos nintendo ds nds consol use classroom set prove appropri infrastructur develop attract engag project use provid better understand mechan relat io subsystem time teach method alter make transit classic passiv lecturebas class activ projectbas learn pl approach reward experi see student learn control nds devic own addit describ implement propos chang two subsequ school year paper also present data conclus,gameconsolebas project learn comput inputoutput subsystem
10.5302/J.ICROS.2013.13.8011,ar,Kim T.,University of Science and Technology (UST),"Journal of Institute of Control, Robotics and Systems",Journal,0,0,paper present user interfac vision base indirect teach robot manipul kinect i m inerti measur unit sensor user interfac system design control manipul easili joint space cartesian space tool frame use skeleton data user kinect wristmount i m sensor calcul user joint angl wrist movement robot control interfac system propos paper allow user teach manipul without preprogram process improv teach time robot eventu enabl increas product simul experiment result present verifi perform robot control interfac system,user interfac vision sensor base indirect teach robot manipul
10.1007/s00170-013-5034-6,ar,Gu W.P.,Nanchang Hangkong University,International Journal of Advanced Manufacturing Technology,Journal,0,0,automat weld technolog solut increas weld product improv weld qualiti especi thick plate weld order obtain highqual multipass well necessari maintain stabl weld bead pass multipass weld difficult obtain stabl weld bead use tradit teach playback arc weld robot overcom tradit limit automat weld track system arc weld robot propos multipass weld develop system includ imag acquisit modul imag process modul track control unit softwar interfac vision sensor includ ccd camera mount weld torch order minim inevit misalign center line weld seam weld torch weld pass robust algorithm weld imag process propos prove suitabl root pass fill pass cap pass order accur track weld seam fuzzi control design control arc weld robot adjust torch microsoft visual c softwar use develop applic program user interfac weld experi carri verifi valid multipass weld track system,autonom seam acquisit track system multipass weld base vision sensor
10.7227/IJEEE.50.3.4,ar,Apsley J.,The University of Manchester,International Journal of Electrical Engineering and Education,Journal,0,0,project work form major part final year be men degre cours assess mark alloc final report tradit classroom teach promot independ learn requir run project write research report autonom linefollow robot challeng introduc secondyear group project train tool project manag plan technic write order prepar student third fourthyear project linefollow robot requir student develop technic skill circuit design fabric microcontrol program control context competit engag enthusiasm provid platform secondyear pastor system motiv student meet week tutor smallgroup context paper evalu effect project meet learn object identifi challeng relat resourc assess,autonom linefollow robot project train tool project work
10.1016/j.robot.2012.08.001,ar,Barakova E.,Technische Universiteit Eindhoven,Robotics and Autonomous Systems,Journal,1,0,paper propos architectur make program robot behavior arbitrari complex possibl endus show technic solut way easi understand general differ situat aim facilit uptak actual use robot technolog therapi train social skill autist children howev framework easi general arbitrari humanrobot interact applic user technic background need program robot ie various assist robot applic identifi main need endus program robot basic prerequisit uptak robot assist applic reusabl modular afford natur interact eas use review shortcom exist architectur develop initi architectur accord principl embed robot platform use cocreat process develop concret architectur facilit solut creat afford robot specialist therapist sever pilot test show differ user group includ therapist general comput skill adolesc autism could make simpl train general behavior scenario within h connect exist behavior block type textual robot command finetun behavior addit paper explain basic concept behind tivip base robot control platform give guidelin choos robot program tool design endus platform robot highlight program architectur help endus creat interact scenario propos complex program concept explain nonprogramm iter cocreat process lead robot scenario train autist children use tivip therapist creat interact robot behavior within h architectur facilit creation share robot train scenario,endus program architectur facilit uptak robot social therapi
10.5772/53992,ar,Yang J.,Hefei University of Technology;Changhzou Key Laboratory of Software Technology and Applications,International Journal of Advanced Robotic Systems,Journal,0,0,paper propos behaviorswitch control strategi evolutionari robot base artifici neural network ann genet algorithm ga method abl construct reinforc learn model autonom robot evolutionari robot modul control behavior reinforc learn environ also perform behaviorswitch control obstacl avoid evolutionari robot unpredict environ static move obstacl combin ann ga experiment result demonstr method perform decisionmak strategi paramet setup optim ann ga learn effect escap trap local minima avoid motion deadlock status humanoid soccer robot agent reduc oscil plan trajectori among multipl obstacl crossov mutat success appli result propos algorithm simul humanoid robot soccer team citi st prize robocup championship chinaopen nd place offici robocup world championship juli istanbul turkey comparison convent behavior network adapt behavior method algorithm simplifi genet encod complex improv converg rate network perform,toward behavior control evolutionari robot base rl enn
10.1109/TLA.2013.6502866,ar,Diaz L.,Universidad Nacional de CÃ³rdoba,IEEE Latin America Transactions,Journal,1,0,work present two cours action part research project focus use intellig tutor system robot improv learn process program engin field first method use applic neural network predict academ perform student program hand develop practic activ base robot program student univers motiv tool action first step learn strategi base feedback motiv appli intellig system process teach learn program appli engin field,action toward applic intellig system comput educ
10.1016/j.neunet.2012.09.015,ar,Baldassarre G.,"Istituto Di Scienze E Tecnologie Della Cognizione, Rome",Neural Networks,Journal,0,1,reinforc trialanderror learn anim driven multitud process anim evolv sever sophist system extrins motiv em guid acquir behaviour allow maintain bodi defend threat reproduc anim also evolv various system intrins motiv im allow acquir action absenc extrins reward action use later pursu reward becom avail intrins motiv studi psycholog mani decad biolog substrat elucid neuroscientist last two decad investig comput model robot machin learn propos various mechan captur certain aspect im howev still lack model im attempt integr key aspect intrins motiv learn behaviour take account relev neurobiolog constraint paper propos bioconstrain systemlevel model contribut major step toward integr model focus three process relat im neural mechan under acquisit actionoutcom associ intern model agentenviron interact driven phasic dopamin signal caus sudden unexpect chang environ b transient focuss visual gaze action salient portion environ c subsequ recal action pursu extrins reward base goaldirect reactiv represent outcom test model includ seri select lesion show focuss process lead faster learn actionoutcom associ associ recruit accomplish goaldirect behaviour model togeth background knowledg review paper repres framework use guid design interpret empir experi im comput valid develop theori,intrins motiv actionoutcom learn goalbas action recal systemlevel bioconstrain comput model
10.7227/IJEEE.50.2.4,ar,Mysorewala M.,King Fahd University of Petroleum and Minerals,International Journal of Electrical Engineering and Education,Journal,0,0,paper discuss projectbas teach learn approach infus robot educ control instrument programm kfupm univers last two year various practic project assign student either cours project capston design project area control engin use nation instrument ni embed robot platform assign project focus design equip robot platform environmentsens light temperatur sound capabl control oper path plan obstacl avoid use ni platform test bed teach approach result design implement success prototyp enabl student experi various sens control communic techniqu platform thus turn intellig mobil robot capabl implement complex comput demand control estim algorithm final survey conduct assess educ content valu student propos approach show strategi far fruit give us ampl encourag pursu develop,projectbas strategi teach robot use ni embeddedfpga platform
