doi,subtype,creator,affilname,publicationName,aggregationType,include?,proc_pubmed_id,proc_abstract,proc_title
10.1016/j.robot.2011.07.023,ar,Shukla A.,Ecole Polytechnique FÃ©dÃ©rale de Lausanne,Robotics and Autonomous Systems,Journal,0,0,perform manipulation task interactively real environment require high degree accuracy stability time one can not assume fully deterministic static environment one must endo robot ability react rapidly sudden change environment consideration make task reach grasp difficult deal with follow programming demonstration pid approach problem take inspiration way human adapt reach grasp motion perturb sharp contrast previous work pid use unperturbed motion training system apply perturbation solely test phase work record kinematic arm finger human subject unperturbed perturbed reach grasp motion perturbed demonstration target location change suddenly onset motion datum show strong coupling hand transport finger motion hypothesize coupling enable subject seamlessly rapidly adapt finger motion coordination hand posture endo robot competence develop couple dynamical system base controller whereby two dynamical system drive hand finger motion couple offer compact encoding reachtograsp motion ensure fast adaptation zero latency replanning show simulation real cub robot coupling ensure smooth humanlike motion demonstrate performance model spatial temporal grasp type perturbation show reach target coordinate handarm motion necessary success task highlight work concern handle fast perturbation reachtograsp task study human react perturbation find inherent coupling hand arm movement present couple dynamical system base model mimic coupling ,couple dynamical system base armhand grasp model learn fast adaptation strategy 
10.1007/s13218-011-0148-1,ar,Kirsch A.,"FakultÃ¤t fÃ¼r Informatik, Technische UniversitÃ¤t MÃ¼nchen",KI - Kunstliche Intelligenz,Journal,0,0,zusammenfassung durch den zunehmenden einsatz von robotern alltagsumgebungen wird die f higkeit sich durch lernen dynamische umgebungen anzupassen immer wichtiger die robot learning language roll schafft die grundlage fr eine nahtlose integration von lernen robotersteuerungsprogramme sie tenth lt konstrukte zum definieren und automatischen sammeln von erfahrungsdaten sowie zum definieren und ausfhren von lernproblemen durch ihre modularit kann roll mit verschiedenen lernalgorithmen verwendet werden ,integration programming learn control language autonomous robot 
10.1007/s10015-011-0996-7,ar,Pagliarini L.,Technical University of Denmark;Accademia di belli arti-Macerata,Artificial Life and Robotics,Journal,0,0,article try describe modular interactive tile system valuable tool introduce student interactive parallel distribute processing programming do provide hanson educational tool allow change representation abstract problem relate design interactive parallel distribute system indeed seem bring series goal education parallel programming distributedness communication protocol master dependency software behavioral model adaptive interactivity feedback connectivity topology island modeling user multiuser interaction rarely find tool finally introduce system modular interactive tile tool easy fast flexible hanson exploration issue example show implement interactive parallel distribute processing different behavioral software model open loop randomnessbase rulebase user interactionbase ai alifebase software ,educational tool interactive parallel distribute processing 
10.1109/TE.2011.2155066,ar,Pinto M.,Universidade do Porto,IEEE Transactions on Education,Journal,0,0,inspiration paper come successful experiment conduct student mobile robot course fifth year integrate master program department electrical computer engineering faculty engineering university porto feud porto portugal one topic mobile robot course localization mobile robot use extended salman filter lego nxt give student opportunity study concept localization experiment come within framework teach localization concept mobile robotic focus primarily explain salman filter concept involve specific tool develop author base lego nxt technology work present could helpful guide teaching concept relate localization mobile robotic ensure adequate understanding concept use extend salman filter ek legofeup robot describe build use lego mindstorm nxt test simulation real scenario base result obtain author conclude developed tool effective motivate student implementation tool structure mobile robot course criterion student assessment describe paper ,localization mobile robot use extended salman filter lego nxt 
10.1016/j.robot.2011.11.009,ar,Chand P.,University of the South Pacific;Victoria University of Wellington,Robotics and Autonomous Systems,Journal,0,0,multirobot systems inherent advantage ability allocate redistribute task across team robot multirobot task exploration large environment available robot may possess simple embed controller limited memory capacity however situation limited robot may require perform global path planning navigate beyond localised region large environment global path plan problematic limited memory robot unable store entire map local memory hence paper present evaluate twotiere path planning technique permit global path planning set local map describe global map search use twotiere a algorithm execute entirely limited memory robot planning time datum communication path length evaluate various combination local global map employ small local map size large global map capable yield superior comparable execution time nonmemory constrain planning ,twotiere global path planning strategy limited memory mobile robot 
10.1109/TE.2012.2182998,ar,Mattmann C.,University of Southern California;Jet Propulsion Laboratory,IEEE Transactions on Education,Journal,0,0,embed software system grow number complexity importance modern world correspond need teach computer science student effectively engineer system arise embed software system control cell phone aircraft medical equipment subject requirement constraint significantly different encounter standard desktop computing environment example embed system must frequently address challenge arise severe resource restriction eg low memory network bandwidth heterogeneous hardware platform safetycritical operation software architecture show effective mean cope issue yet traditional course embed software development rarely focus software architectural abstraction instead concentrate lowerlevel issue program language hardware interface since university southern california los angeles unique course develop affords student opportunity gain experience insight develop software architecture embed system heart course middleware platform prismmw help student use software architectural principle construct embed system understand important challenge embed system domain paper describe course explanation evaluation four year class project weave together course middleware platform relationship three key pedagogical goal drive formulation course curriculum ,middleware platform provide mobile embed computing instruction software engineering student 
10.1109/TE.2012.2190071,ar,Kwon D.,Korea University,IEEE Transactions on Education,Journal,1,0,tangible programming tool enable child easily learn programming process previously consider difficult various tangible programming tool develop still lack available tool help student experience general programming process study therefore develop tool call algorithmic brick brick improve programming language experience consider utilize characteristic procedural language specifically element sequence repetition condition function parameter use develop brick addition study observe benefit brick confirm potential tangible educational programming tool compare analyze elementary school student use brick control group use scratch ,algorithmic bricks tangible robot programming tool elementary school student 
10.18848/1835-9795/cgp/v04i01/40322,ar,Yuventi J.,Stanford University,Ubiquitous Learning,Journal,0,0,learn computer programming migrate new programming language often perceive difficult partially traditional method teach focus memorization syntax rather understand develop algorithm additionally traditional tool use teach program little retain student attention increase confidence skill build upon previous attempt innovative computer programming strategy create environment engage student paper present method learn programming use robotic internet concept revolve around separate language function focus application analytical thinking toward create algorithm internet use provide ubiquity learn create easily accessible platform potentially reduce cost learning method provide student great understanding logic involve programming approach understanding make easy develop uniquecomplex software transition new programming language direction take paper govern notion programming help develop analytical thinking method introduce mean solely computer science student also great technical audience ,analytical learn robotic internet 
10.1007/s12369-012-0162-y,ar,JÃ¤kel R.,Karlsruher Institut fÃ¼r Technologie,International Journal of Social Robotics,Journal,0,0,human environment service robot able manipulate autonomously large variety object workspace restrict collision obstacle selfcollision task constraint planning enable robot system generalize predefine learned manipulation knowledge new environment dexterous manipulation task manual definition planning model timeconsume errorprone work planning model dexterous task learn base multiple human demonstration use general feature space include automatically generate contact constraint automatically relaxed consider correspondence problem order execute learn planning model different object contact location transform give object geometry use morphine initial overspecialize planning model generalize use previously describe parallelize optimization algorithm goal find maximal subset task constraint admit solution set test problem experiment two different dexterous task show applicability learn approach dexterous manipulation task ,learn planning model dexterous manipulation base human demonstration 
10.7227/IJEEE.49.3.6,ar,Coombs J.,Texas Instruments,International Journal of Electrical Engineering and Education,Journal,0,0,grow performance decrease price embed processor open many door developer industry academia however complexitie system create serious developmental bottleneck sophisticated software package opencv assist functional development educational aspect otherwise complex application tool lend well use academic community particular provide example algorithm implementation however task migrate software embed platform pose challenge paper review mitigate issue include c implementation memory constraint floatingpoint support opportunity maximise performance use vendoroptimised library integrate accelerator coprocessor finally introduce new effort texas instruments optimism vision system run opencv c digital signal processor architecture benchmarks show advantage use dsp compare performance dsparm systemonchip soc processor armonly device ,overcome challenge sort opencv ti embedded arm dsp platform 
10.7227/IJEEE.49.3.3,ar,Tadrist N.,UniversitÃ© des Sciences et de la Technologie Houari Boumediene,International Journal of Electrical Engineering and Education,Journal,0,0,paper test bench develop teaching purpose enhance power electronic real time control brushless dc motor particular emphasis place pm technique theoretical signal generation use matlabsimulink environment experimentally dsp programming kit first model develop matlabsimulink derive electrical mechanical equation mode control strategy implement involve two pm technique namely soft hard switching system build way student able carry modelling confirm result test bench use technique approach use effective generate student satisfaction improvement student learn evident regard drive control application either variable speed drive embed system ,development brushless dc motor drive system teaching purpose use various pm control technique 
10.14198/jopha.2012.6.1.06,ar,QuintÃ­a P.,Universidad de Santiago de Compostela,Journal of Physical Agents,Journal,0,0,article describe proposal achieve fast robot learn interaction environment proposal suitable continuous learning procedure try limit instability appear every time robot encounter new situation see before hand user establish degree exploration usual reinforcement learning would prevent continual learning procedure proposal use ensemble learner able combine dynamic programming reinforcement learn predict robot make mistake information use dynamically evolve set control policy determine robot action ,learn real robot environment interaction 
10.1299/kikaic.78.2450,ar,Tsusaka Y.,,"Nihon Kikai Gakkai Ronbunshu, C Hen/Transactions of the Japan Society of Mechanical Engineers, Part C",Journal,0,0,future robotic system intend use domestic housekeeping elderly care flexible adapt environment uncertain may fluctuate however current robot system industrial domain operate limited environment well arrange little uncertainty require special knowledge teachingpendant robot programming robot motion instructor obviously requirement appropriate homeuse robot paper propose new method insitu robot motion modification handguide instruction propose method human demonstrator intuitively modify robot motion operation adapt environmental change daily domestic task actually try use lightweight pneumatic robot arm experimental result show effectiveness propose method ,development insitu robot motion modification method handguide instruction 
10.1007/s10489-010-0257-9,ar,Kang J.G.,Pohang University of Science and Technology,Applied Intelligence,Journal,0,0,paper present neuroevolutionary optimization slam neoslam novel approach slam use neural network nn autonomously learn nonlinear motion model noise statistics measurement datum nn train use evolutionary optimization learn residual error motion model add odometry datum obtain full motion model estimate stochastic optimization use accommodate kind cost function prediction correction perform simultaneously within neural framework implicitly integrate motion sensor model evolutionary programming ep algorithm use progressively refine neural model generate trajectory consistent actual sensor measurement learn process neoslam require prior knowledge motion sensor model show consistently good performance regardless robot sensor noise type furthermore neoslam require data association step loop close crucial slam algorithm still generate accurate map experiment various complex environment widelyvarye type noise show learning capability neoslam ensure performance consistently less sensitive noise accurate slam method ,new approach simultaneous localization map building implicit model learn use neuro evolutionary optimization 
10.7227/IJEEE.49.3.5,ar,RodrÃ­guez-ResÃ©ndiz J.,Universidad AutÃ³noma de QuerÃ©taro,International Journal of Electrical Engineering and Education,Journal,0,0,article methodology construct simple serve loop motion control application suitable educational application present entire hardware implementation demonstrate focus microcontrollerbase c serve amplifier field programmable gate arraydigital signal processor fpgadsp motion controller novel hybrid architecturebase digital stage feature provide lowcost serve drive high performance controller use basis industrial application communication computer controller exploit project order perform simultaneous adaptive serve tuning usb protocol put operation user frontend high speed sampling frequency require pc acquire position feedback signal software interface develop use educational software enable feature limited motion profile also supervisory control data acquisition scara topology system classical proportionalintegralderivative controller pid program dsp order ensure proper tracking reference low high speed dc motor furthermore certain block embed pga result three important technology signal processing feature permit engineering student understand several concept cover theoretical course ,approach motion control application base advanced programmable device 
10.1007/s10846-011-9568-2,ar,De Filippis L.,Politecnico di Torino,Journal of Intelligent and Robotic Systems: Theory and Applications,Journal,0,0,graphsearch algorithms develop s s widely use many field robotic video game a algorithm shall mention important solution explicitly orient motionrobotic improve logic graph search heuristic principle inside loop nevertheless one important drawback a algorithm reside head constraint connect grid characteristic different solution develop last year cope problem base postprocesse algorithms improvements graphsearch algorithm important one theta refine graph search allow obtain path any head last two year flight mechanic research group politecnico di torino study implement different path planning algorithms matlab base planning tool develop collect four separate approach geometric predefine trajectory manual waypoint definition automatic waypoint distribution ie optimize camera payload capability comprehensive base algorithm use generate path minimize risk collision orographic obstacle tool name cube exploit digital elevation map dem assess risk map use generate waypoint sequence uav autopilot order improve base algorithm solution extend tridimensional environment implement effective graph search base theta paper application basic theta tridimensional path planning present particularly algorithm apply orographic obstacle urban environment evaluate solution different kind obstacle finally comparison a algorithm introduce metric algorithm performance ,path planning strategy uav d environment 
10.1080/08993408.2013.847152,ar,Mason R.,School of Business and Tourism,Computer Science Education,Journal,1,0,paper report series introductory programming workshop initially target female high school student utilise lego mindstorm robot cognitive load theory lt apply instructional design workshop control experiment also conduct investigate aspect interface result indicate truncate interface lead well learning novice programmer measure test performance participant well enhanced shift selfefficacy lower perception difficulty also transfer effect another programming environment alice argue result indicate novice programmer mere presence onscreen additional redundant entity act form tacit distraction thus impend learn utility lt analyse design deliver aspect computer programming environment instructional material discuss ,mindstorm robot application cognitive load theory introductory programming 
10.1080/08993408.2013.847226,ar,Touretzky D.,Carnegie Mellon University,Computer Science Education,Journal,1,0,modern robot like today smartphone complex device intricate software system introductory robot programming course must evolve reflect reality teaching student make use sophisticated tool robot provide rather reimplemente basic algorithm paper focus teach tekkotsu open source robot application development framework design specifically education curriculum describe also teach use ros robot operating system widely use robotic research ,robotic computer scientist   big idea 
10.1109/TE.2013.2255877,ar,Larraza-Mendiluze E.,Universidad del Pais Vasco,IEEE Transactions on Education,Journal,0,0,inputoutput io subsystem important topic within computer architecture ca determine computer interact environment reason computer scientist engineer must understand computer manage interaction usually teach introductory ca course course many different style teach range purely theoretical completely practical ca course consider paper already apply practical approach time io subsystem student must able describe polling interrupt handle lowlevel programming however program level operating system os drive computer possible without familiar kernel driver usually case student introductory course fortunately many bare specialize embed system around osdriven proposal nintendo ds nds console use classroom set prove appropriate infrastructure develop attractive engaging project useful provide well understanding mechanism relate io subsystem time teach method alter make transition classical passive lecturebase class active projectbased learning pl approach reward experience see student learn control nds device own addition describe implementation propose change two subsequent school year paper also present data conclusion ,gameconsolebased project learn computer inputoutput subsystem 
10.5302/J.ICROS.2013.13.8011,ar,Kim T.,University of Science and Technology (UST),"Journal of Institute of Control, Robotics and Systems",Journal,0,0,paper present user interface vision base indirect teach robotic manipulator kinect be inertial measurement unit sensor user interface system design control manipulator easily joint space cartesian space tool frame use skeleton data user kinect wristmounte be sensor calculate user joint angle wrist movement robot control interface system propose paper allow user teach manipulator without preprogramme process improve teach time robot eventually enable increase productivity simulation experimental result present verify performance robot control interface system ,user interface vision sensor base indirect teach robotic manipulator 
10.1007/s00170-013-5034-6,ar,Gu W.P.,Nanchang Hangkong University,International Journal of Advanced Manufacturing Technology,Journal,0,0,automatic weld technology solution increase weld productivity improve weld quality especially thick plate weld order obtain highquality multipass well necessary maintain stable welding bead pass multipass weld difficult obtain stable weld bead use traditional teaching playback arc weld robot overcome traditional limitation automatic weld tracking system arc weld robot propose multipass welding develop system include image acquisition module image processing module track control unit software interface vision sensor include ccd camera mount weld torch order minimize inevitable misalignment center line weld seam weld torch weld pass robust algorithm weld image processing propose prove suitable root pass filling pass cap pass order accurately track weld seam fuzzy controller design control arc weld robot adjust torch microsoft visual c software use develop application program user interface welding experiment carry verify validity multipass weld tracking system ,autonomous seam acquisition tracking system multipass weld base vision sensor 
10.7227/IJEEE.50.3.4,ar,Apsley J.,The University of Manchester,International Journal of Electrical Engineering and Education,Journal,0,0,project work form major part final year be man degree course assessment mark allocate final report traditional classroom teaching promote independent learning require running project write research report autonomous linefollowe robot challenge introduce secondyear group project training tool project management plan technical writing order prepare student third fourthyear project linefollowe robot require student develop technical skill circuit design fabrication microcontroller programming control context competition engage enthusiasm provide platform secondyear pastoral system motivate student meet weekly tutor smallgroup context paper evaluate effectiveness project meeting learn objective identify challenge relate resource assessment ,autonomous linefollowe robot project training tool project work 
10.1016/j.robot.2012.08.001,ar,Barakova E.,Technische Universiteit Eindhoven,Robotics and Autonomous Systems,Journal,1,0,paper propose architecture make programming robot behavior arbitrary complexity possible enduser show technical solution way easy understand generalize different situation aim facilitate uptake actual use robot technology therapy train social skill autistic child however framework easy generalize arbitrary humanrobot interaction application user technical background need program robot ie various assistive robotic application identify main need enduser programming robot basic prerequisite uptake robot assistive application reusability modularity affordance natural interaction ease use review shortcoming exist architecture develop initial architecture accord principle embed robot platform use cocreation process develop concretize architecture facilitate solution create affordance robot specialist therapist several pilot test show different user group include therapist general computer skill adolescent autism could make simple training general behavioral scenario within h connect exist behavioral block type textual robot command finetune behavior addition paper explain basic concept behind tivipe base robot control platform give guideline choose robot programming tool design enduser platform robot highlight programming architecture help enduser create interactive scenario propose complex programming concept explain nonprogrammer iterative cocreation process lead robot scenario train autistic child use tivipe therapist create interactive robot behavior within h architecture facilitate creation share robot training scenario ,enduser programming architecture facilitate uptake robot social therapy 
10.5772/53992,ar,Yang J.,Hefei University of Technology;Changhzou Key Laboratory of Software Technology and Applications,International Journal of Advanced Robotic Systems,Journal,0,0,paper propose behaviorswitche control strategy evolutionary robot base artificial neural network ann genetic algorithm ga method able construct reinforcement learning model autonomous robot evolutionary robot module control behavior reinforcement learning environment also perform behaviorswitche control obstacle avoidance evolutionary robot unpredictable environment static move obstacle combine ann ga experimental result demonstrate method perform decisionmake strategy parameter setup optimization ann ga learn effectively escape trap local minimum avoid motion deadlock status humanoid soccer robotic agent reduce oscillation plan trajectory among multiple obstacle crossover mutation successfully apply result propose algorithm simulation humanoid robotic soccer team city st prize robocup championship chinaopen nd place official robocup world championship july istanbul turkey comparison conventional behavior network adaptive behavior method algorithm simplify genetic encoding complexity improve convergence rate network performance ,towards behavior control evolutionary robot base rl enn 
10.1109/TLA.2013.6502866,ar,Diaz L.,Universidad Nacional de CÃ³rdoba,IEEE Latin America Transactions,Journal,1,0,work present two course action part research project focus use intelligent tutoring system robot improve learn process programming engineering field first method use application neural network prediction academic performance student program hand develop practical activity base robot programming student universe motivational tool action first step learn strategy base feedback motivation apply intelligent system process teach learning programming apply engineering field ,action towards application intelligent system computer education 
10.1016/j.neunet.2012.09.015,ar,Baldassarre G.,"Istituto Di Scienze E Tecnologie Della Cognizione, Rome",Neural Networks,Journal,0,1,reinforcement trialanderror learning animal drive multitude process animal evolve several sophisticated system extrinsic motivation ems guide acquire behaviour allow maintain body defend threat reproduce animal also evolve various system intrinsic motivation im allow acquire action absence extrinsic reward action use later pursue reward become available intrinsic motivation study psychology many decade biological substrate elucidate neuroscientist last two decade investigator computational modelling robotic machine learning propose various mechanism capture certain aspect ims however still lack model ims attempt integrate key aspect intrinsically motivate learn behaviour take account relevant neurobiological constraint paper propose bioconstraine systemlevel model contribute major step towards integration model focus three process relate ims neural mechanism underlie acquisition actionoutcome association internal model agentenvironment interaction drive phasic dopamine signal cause sudden unexpected change environment b transient focusse visual gaze action salient portion environment c subsequent recall action pursue extrinsic reward base goaldirected reactivation representation outcomes test model include series selective lesion show focusse process lead faster learn actionoutcome association association recruit accomplish goaldirecte behaviours model together background knowledge review paper represent framework use guide design interpretation empirical experiment ims computationally validate develop theory ,intrinsically motivated actionoutcome learn goalbase action recall systemlevel bioconstraine computational model 
