doi,pubmed_id,title,subtype,subtypeDescription,creator,affilname,affiliation_city,affiliation_country,publicationName,aggregationType,volume,pageRange,citedby_count,openaccess,url,abstract,include?
10.1007/s10639-020-10392-0,,Utilizing social virtual reality robot (V2R) for music education to children with high-functioning autism,ar,Article,Shahab M.,Sharif University of Technology,Tehran,Iran,Education and Information Technologies,Journal,,,0,0,https://link.springer.com/article/10.1007%2Fs10639-020-10392-0,"Virtual Reality (VR) technology is a growing technology that has been used in various fields of psychology, education, and therapy. One group of potential users of VR are children with autism who need education and have poor social interactions; this technology could help them improve their social skills through real-world simulation. In this study, we evaluated the feasibility of conducting virtual music education programs with automatic assessment system for children with autism at treatment/research centers without the need to purchase a robot, resulting in the possibility of offering schedules on a larger scale and at a lower cost. Intervention sessions were conducted for five children with high-functioning autism ranging in age from 6 to 8 years old during 20 weeks which includes a baseline session, a pre-test, training sessions, a post-test, and a follow-up test. Each music education sessions involved teaching different notes and pieces of music according to the child’s cooperation, accuracy, and skill level utilizing virtual reality robots and virtual musical instruments. Actually, by analysis of psychological tests, and questionnaires conducted by a psychologist, we observe slight improvements in cognitive skills because of the ceiling effect. Nevertheless, the effectiveness of the proposed method was proved by conducting statistical analysis on the child’s performance data during the music education sessions which were obtained by using both video coding and the proposed automatic assessment system. Consequently, a general upward trend in the musical ability of participants was shown to occur in these sessions, which warrants future studies in this field.",0
10.1007/978-3-030-62784-3_27,,Industry 4.0 in Educational Process,cp,Conference Paper,Vetiska J.,Brno University of Technology,Brno,Czech Republic,Lecture Notes in Mechanical Engineering,Book Series,,324-332,0,0,https://link.springer.com/chapter/10.1007%2F978-3-030-62784-3_27,"The presented paper describes the individual elements of industry 4.0 already introduced into the educational process of students of bachelor and master degree studies at the workplace of the Faculty of Mechanical Engineering, Brno University of Technology. For the purposes of education, approaches were taken into account with the requirements of Industry 4.0 in the field of sensor systems, OPC UA data collection, data processing, metrology, simulation, automation, robotics, M2M communication, Virtual Reality, and digital commissioning. Individual technologies are presented to students in the form of partial tasks that are mutually related. The result is an overall overview of the elements of industry 4.0 and their implementation into production systems.",0
10.1007/978-981-15-5397-4_32,,A Mechatronics Design Approach of a Low-Cost Smart Reconnaissance Robot,cp,Conference Paper,Seenu N.,Hindustan Institute of Technology and Science,Chennai,India,Lecture Notes in Networks and Systems,Book Series,134,299-310,0,0,https://link.springer.com/chapter/10.1007%2F978-981-15-5397-4_32,"Mobile robots, now-a-days, are majorly used in various fields such as service robotics, military, education, and surveillance. Human surveillance does have limitations as it is difficult for humans to monitor inaccessible areas and also, they get tired. Recent approaches in surveillance include the use of static cameras to monitor a particular location. But they do not cover the dead spot areas and also people try to avoid the camera’s sight. In order to overcome these drawbacks, surveillance is being replaced by mobile robots. In this paper, we presented a low-cost Smart Reconnaissance Robot (SRR) that is able to wander around an environment, capture images, and perform live streaming of video both in daytime and also at night using a camera deployed on the robot. Initially, the robot is modeled and simulated using webots robot simulation software and its performance is analyzed. Then, it is compared with the performance of the robot developed using Arduino microcontroller and other sensors. The user can control the robot’s action using a mobile phone or laptop through Internet of Things (IoT) and also can view the video information transmitted by the robot using a wi-fi module. Thus, this robot can be used in domestic or household environments where the user can remotely view any abnormal events or interpretation of human events.",0
10.1007/978-3-030-49932-7_90,,Educational Robotics for Creating “Tangible Simulations”: A Mixed Reality Space for Learning the Day/Night Cycle,cp,Conference Paper,Xefteris S.,University of Western Macedonia,Kozani,Greece,Advances in Intelligent Systems and Computing,Book Series,1192 AISC,971-982,0,0,https://link.springer.com/chapter/10.1007%2F978-3-030-49932-7_90,"Human cognition is guided and shaped by the physical manifestation of objects around us- acting and thinking are intertwined. By integrating digital interactions to the physical world, we improve the potential to perceive and understand objects, spaces and notions and we facilitate the creation of mental representations since these are directly influenced by the way we bodily interact with objects. The integration of educational robotics, mixed reality and tangible interfaces provides us with a fertile ground on which to develop new learning scenarios. Astronomical phenomena, from the simplest to the most obscure include difficult to grasp concepts for which learners usually develop strong misconceptions. In this paper, we propose the use of educational robotics as a tangible simulation tool of the Earth’s movements, in a mixed reality space for learning the day/night cycle. In order to evaluate the proposed environment, a pilot study was conducted with sixteen elementary students. Data were collected through pre/post tests, an attitudes questionnaire and semi-formal group interviews. Students’ answers indicated that they were excited with and impressed by the proposed intervention while the gained invaluable knowledge about the day/night cycle.",0
10.1007/978-3-030-52575-0_14,,Mobile Arduino Robot Programming Using a Remote Laboratory in UNAD: Pedagogic and Technical Aspects: Experience Using a Remote Mobile Robotics Laboratory at UNAD,cp,Conference Paper,Buitrago P.A.,Universidad Nacional Abierta y a Distancia,Bogota,Colombia,Advances in Intelligent Systems and Computing,Book Series,1231 AISC,171-183,1,0,https://link.springer.com/chapter/10.1007%2F978-3-030-52575-0_14,"The National Open and Distance University - UNAD, is an autonomous university entity of the national order, with special regime. It has 8 zones and 64 education centers. By using the first remote mobile robotics laboratory based on the Arduino platform and incorporating the LabsLand Arduino Robot, an alternative that in addition to reducing costs allows coverage for students who are located in distant areas and who have difficulty accessing laboratory practices. It is planned to replace the use of simulators or loose microcontrollers, without any robotic structure, by incorporating this new technological tool. The educational approach it is due to the need to incorporate “e-learning” activities and laboratory practices in the course of microprocessors and microcontrollers during the month of October and the first week of November and measure the technological and pedagogical impact on open and distance education. For this purpose, 110 students participated and from those, 78 students conducted the survey subsequently the results evaluated in the activities are compared with the rest of the students who carry out traditional activities and a matrix of indicators is obtained, that allows measuring the educational impact on the use of technological tools compared to traditional laboratory activities and practices in the course of microprocessors and microcontrollers.",1
10.1007/978-3-030-52287-2_11,,From high-fidelity patient simulators to robotics and artificial intelligence: A discussion paper on new challenges to enhance learning in nursing education,cp,Conference Paper,Dante A.,Università degli Studi dell'Aquila,L'Aquila,Italy,Advances in Intelligent Systems and Computing,Book Series,1236 AISC,111-118,0,0,https://link.springer.com/chapter/10.1007%2F978-3-030-52287-2_11,"High-fidelity simulation (HFS) is an educational method based on technological mannequins which faithfully reproduces both physiological or physiopathological human body responses to specific clinical conditions and nursing care. When the traditional education is integrated with HFS, improvements in nursing students’ knowledge, performance, self-efficacy, self-confidence, problem solving ability, and critical thinking were reported, as well as relational and empathic skills. The level of realism reached in HFS sessions, defined as the ‘degree to which a simulated experience approaches reality’ demonstrated a positive association with students’ learning outcomes. Most of high-fidelity patient simulators are computer-driven static mannequins which resemble adult or child human body dimensions. However, they show limits that should be overcome to provide a more realistic full-body experience in nursing education. In this regard, robotics and artificial intelligence have a key role for the technological evolution of nursing educational systems and their introduction in the simulation field is opening new perspectives that will produce unavoidably the redefinition of educational standards with beneficial implications for future nursing care. In this perspective, new challenges for nursing education has been discussed in this paper.",0
10.1007/978-3-030-53021-1_45,,Design and implementation of a remote virtual laboratory by internet applied to kuka lbr iiwa 14 r820,cp,Conference Paper,Martinez S.J.,Universidad ECCI,Bogota,Colombia,Lecture Notes in Electrical Engineering,Book Series,685 LNEE,442-452,0,0,https://link.springer.com/chapter/10.1007%2F978-3-030-53021-1_45,"In the educational field, it is necessary to have the ability to experiment for learning process, that is where virtual laboratories allow having more freedom to do it, even when there are no physical resources. In this paper is presented a web-based virtual laboratory with the KUKA LBR IIWA 14R820 robot. A virtual robotic arm was used in V-REP simulator allowing to control the robotic arm using the direct kinematic model, directly controlling the position of each joint or through the inverse kinematic model that was developed using Denavit-Hatenberg methodology. For connection with the remote API through the web and design of user interface, LabVIEW 2016 was used with some external libraries. For connection with laboratory through the web, the user had to have a computer with Internet access and have LabVIEW Run-Time Engine 2016 plugin installed. In experimental tests, it was observed that the system was robust since it allows streaming to several users without affecting the work of who is managing the program. It was possible to verify that the performance of the laboratory is linked to the working capacity of the user’s computer.",1
10.1109/REM49740.2020.9313070,,ROS-based Motion Planner for Gazebo-Simulated Rescue Robots in RoboCup,cp,Conference Paper,Mirzae M.R.,K. N. Toosi University of Technology,Tehran,Iran,"2020 21st International Conference on Research and Education in Mechatronics, REM 2020",Conference Proceeding,,,0,0,https://ieeexplore.ieee.org/document/9313070,"One of the key accepts of the fourth industrial revolution (called industry 4.0) is the proper usage of mobile robots, for which using an efficient motion planning algorithm is of importance. Every year, universities and educational institutes from around the world present their accomplishments in robotics within the RoboCup competitions. One of the main purposes of the rescue robots competitions is to increase the awareness of robots during their missions. This paper presents an open-source motion planning algorithm, simulated in the robot operating system (ROS) platform. The proposed planner develops a semiautonomous algorithm for the rescue robots utilized in the RoboCup competitions. The Gazebo-simulated results validate the efficient performance of the presented algorithms.",0
10.3390/electronics9122163,,Open-source drone programming course for distance engineering education,ar,Article,Cañas J.M.,Universidad Rey Juan Carlos,Mostoles,Spain,Electronics (Switzerland),Journal,9,ene-18,3,1,https://www.mdpi.com/2079-9292/9/12/2163,"This article presents a full course for autonomous aerial robotics inside the RoboticsAcademy framework. This “drone programming” course is open-access and ready-to-use for any teacher/student to teach/learn drone programming with it for free. The students may program diverse drones on their computers without a physical presence in this course. Unmanned aerial vehicles (UAV) applications are essentially practical, as their intelligence resides in the software part. Therefore, the proposed course emphasizes drone programming through practical learning. It comprises a collection of exercises resembling drone applications in real life, such as following a road, visual landing, and people search and rescue, including their corresponding background theory. The course has been successfully taught for five years to students from several university engineering degrees. Some exercises from the course have also been validated in three aerial robotics competitions, including an international one. RoboticsAcademy is also briefly presented in the paper. It is an open framework for distance robotics learning in engineering degrees. It has been designed as a practical complement to the typical online videos of massive open online courses (MOOCs). Its educational contents are built upon robot operating system (ROS) middleware (de facto standard in robot programming), the powerful 3D Gazebo simulator, and the widely used Python programming language. Additionally, RoboticsAcademy is a suitable tool for gamified learning and online robotics competitions, as it includes several competitive exercises and automatic assessment tools. View Full-Text",1
10.1007/s12008-020-00704-6,,Cyber-Physical Labs to enhance engineering training and education,ar,Article,Macías García M.E.,Tecnologico de Monterrey,Monterrey,Mexico,International Journal on Interactive Design and Manufacturing,Journal,14,1253-1269,0,0,https://link.springer.com/article/10.1007%2Fs12008-020-00704-6,"The current market requirements of manufacturing sectors are boosting the development and adoption of digital tools increasingly every day. Training simulation software for automatic systems, process optimization, and system validation are a must-have for all production centers to do faster machine integrations and more rapid prototyping to find advantages over their competitors. The new form of system validation is known as virtual commissioning, which emulates a real industrial environment thanks to computer software, and it provides the user with a safe place to train before dealing with a problem in the real world. This technology represents an opportunity for specialized education where virtual commissioning could be used to equip control and automation laboratories in which students and trainees in automation can test, validate, and debug their control and automation strategies. Thus, the student learns by doing; the technology saves the training center money by not needing costly, industrial machinery to reinforce student understanding. The student’s practice becomes a regular habit. In our global economy, many developing nations whose primary economic activity is production feel these pressures, but their training laboratories are resource-poor and are commonly equipped with improvised homemade systems that do not represent what students will face in the real industrial environment. This article describes the creation process, capabilities, and scope of a set of new virtual commissioning elements within Cyber-Physical Laboratories (CPL). A CPL is a merger of physical laboratories equipped with real industrial controllers and virtual environments to emulate industrial processes which can be used for engineering training in automation, control, and robotics for the purpose of achieving low costs and effective use of laboratories. As in a physical system, in a Cyber-Physical Laboratory, devices are totally connected, all operating in their own spaces, real and virtual, and interacting with each other. This research paper also shows examples of in situ Cyber-Physical Laboratories and their capabilities, scope, usage, and contributions to student training.",0
10.1186/s13638-020-01761-x,,Research on robot boxing movement simulation based on kinect sensor,ar,Article,Li P.,Sichuan Normal University,Chengdu,China,Eurasip Journal on Wireless Communications and Networking,Journal,2020,,0,1,https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-020-01761-x,"In the process of continuous development, robot technology has been widely used in aerospace, medical, education, and service industries, and the relationship between robots and people is getting closer and closer. The improvement of robot intelligence is a process of continuous learning of external knowledge. Since the introduction of human-computer interaction technology, it has provided more and more technical support for human research robots. This paper firstly takes Tai Chi as an example, analyzes and deconstructs its standard Tai Chi putter movements, and obtains the corresponding movement parameter information. Then, the human body depth image and bone structure are obtained through the kinect sensor, and the human joint position data is recorded, and then the coordinate data is sent to the brain robot, thereby realizing the imitation learning of the robot’s push movements in Tai Chi. The experimental results show that the proposed method can simulate the practice process of inversion of Tai Chi, can well analyze the shortcomings in the practice process, and can then promote the development of the sport.",0
10.1186/s40648-020-00160-7,,Necessity and feasibility of care training assistant robot (CaTARo) as shoulder complex joint with multi-DOF in elderly care education,ar,Article,Lee M.,Ritsumeikan University Biwako-Kusatsu Campus,Kusatsu,Japan,ROBOMECH Journal,Journal,7,,0,1,https://robomechjournal.springeropen.com/articles/10.1186/s40648-020-00160-7,"As the geriatric population expands, caregivers require more accurate training to handle and care for the elderly. However, students lack methods for acquiring the necessary skill and experience, as well as sufficient opportunities to practice on real human beings. To investigate the necessity and feasibility of care training assistant robots in care education, we developed a simulated robot as a shoulder complex joint with multi-DOF. In this study, five experts with years of experience in elderly care participated in the data-acquisition process, to acquire information on aspects such as the glenohumeral angle, as well as the sterno-clavicular joint and its torque. The experts performed three types of range-of-motion exercises: (i) elevation–depression of sterno-clavicular joint; (ii) extension and flexion of glenohumeral joint; (iii) lateral and medial rotation of glenohumeral joint. The experimental results showed that the quantitative results for all the exercises were significantly different between the experts. Moreover, we observed that even experienced professionals need consistent care education based on quantitative data and feedback. Thus, we confirmed the necessity and feasibility of the care training assistant robot for improving the skills required for elderly care.",0
10.1109/LARS/SBR/WRE51543.2020.9306947,,Assessing the Reality Gap of Robotic Simulations with Educational Purposes,cp,Conference Paper,Souza J.D.T.,Universidade Federal de Pernambuco,Recife,Brazil,"2020 Latin American Robotics Symposium, 2020 Brazilian Symposium on Robotics and 2020 Workshop on Robotics in Education, LARS-SBR-WRE 2020",Conference Proceeding,,,0,0,https://ieeexplore.ieee.org/document/9306947,"The use of simulation and visualization tools to validate mechanical designs and programming for robots has become increasingly important. Being used in many scenarios, simulators have collaborated for research in machine learning, deep learning and training of professionals. Nowadays, with the Covid-19 pandemic and social distancing, simulators have great potential as a tool to help in the teaching of robotics. However, research indicates that the user may encounter differences between what happens in the simulator and in real life, this effect is called reality gap. This article aims to investigate the effects of this gap in an educational robotics simulator, named Virtual Robotics Toolkit (VRT), as well as its impacts on the testing of algorithms and to propose strategies to reduce the impact of this effect. Three batch tests were carried out on two different robots, both in the simulation and in the real world. By capturing data from sensors such as tachometer, infrared, gyroscope and a light sensor, it was possible to compare the performance in the two scenarios and their differences. Finally, the entire test field and models were made available along with videos of some tests.",1
10.2493/jjspe.86.898,,Movement control for an omnidirectional mobile mechanism for pipe-inspect ion robot in small diameter pipes,ar,Article,Mizukami M.,,,,Seimitsu Kogaku Kaishi/Journal of the Japan Society for Precision Engineering,Journal,86,898-903,0,1,https://www.jstage.jst.go.jp/article/jjspe/86/11/86_898/_article/-char/ja/,"抄録

In recent years, the need for piping inspection has been increasing, and various in-pipe inspection robots have been studied and developed by several research and educational institutes and companies so far. However, there are few verification examples of moving mechanisms considering the run-through performance of pipe fitting (bent pipes and branch pipes).

We have proposed an omnidirectional mobile mechanism for pipe-inspection robot in small diameter pipes. A movement control method in the pipe by omnidirectional movement mechanism equipped with four independent rotary wheels has been discussed. It was shown that the approach of movement control of vehicles was applicable. The straight, spiral and rotary movements can be confirmed by modeling of the omnidirectional mechanism and simulation using proposed method.",0
10.1145/3383668.3419900,,Playing with the opposite of uncanny: Empathic responses to learning with a companion-technology robot dog vs. real dog,cp,Conference Paper,Heljakka K.I.,University of Turku School of Cultural Production and Landscape Studies,Pori,Finland,CHI PLAY 2020 - Extended Abstracts of the 2020 Annual Symposium on Computer-Human Interaction in Play,Conference Proceeding,,262-266,0,0,https://dl.acm.org/doi/10.1145/3383668.3419900,"Social robots are becoming increasingly common in the contexts of education and healthcare. This paper reports on the findings of the first stage of an exploratory study conducted with (n=16) Finnish preschoolers aged 5-7 years. The multidisciplinary study intertwining the areas of early education pedagogics, smart toys and interactive technologies, employed both a commercial robot dog and a real dog to study the potential of these artificial and living entities to support and facilitate social-emotional learning (SEL) through a guided playful learning approach. We performed a research intervention including facilitation, observation and video- recordings of three play sessions organized in March-May 2020. The preliminary findings indicate how guided playing with the robot dog supported SEL through conversation about human relationships, while interaction with the real dog facilitated empathic responses through spontaneous reactions on the animal's behavior. The contribution of our research is an understanding of that a robotic dog more than a living dog may assist in simulating human interaction more than human- animal interaction and is in this way suitable to support playful learning of social-emotional competencies.",0
10.1109/IRC.2020.00014,,Collaborative Robotics Toolkit (CRTK): Open Software Framework for Surgical Robotics Research,cp,Conference Paper,Su Y.H.,Mount Holyoke College,South Hadley,United States,"Proceedings - 4th IEEE International Conference on Robotic Computing, IRC 2020",Conference Proceeding,,48-55,0,0,https://ieeexplore.ieee.org/document/9287933,"Robot-assisted minimally invasive surgery has made a substantial impact in operating rooms over the past few decades with their high dexterity, small tool size, and impact on adoption of minimally invasive techniques. In recent years, intelligence and different levels of surgical robot autonomy have emerged thanks to the medical robotics endeavors at numerous academic institutions and leading surgical robot companies. To accelerate interaction within the research community and prevent repeated development, we propose the Collaborative Robotics Toolkit (CRTK), a common API for the RAVEN-II and da Vinci Research Kit (dVRK) - two open surgical robot platforms installed at more than 40 institutions worldwide. CRTK has broadened to include other robots and devices, including simulated robotic systems and industrial robots. This common API is a community software infrastructure for research and education in cutting edge human-robot collaborative areas such as semi-autonomous teleoperation and medical robotics. This paper presents the concepts, design details and the integration of CRTK with physical robot systems and simulation platforms.",0
