texto,autor
"Había empezado a leer la novela unos días antes. La abandonó por negocios urgentes, volvió a abrirla cuando regresaba en tren a la finca; se dejaba interesar lentamente por la trama, por el dibujo de los personajes. Esa tarde, después de escribir una carta a su apoderado y discutir con el mayordomo una cuestion de aparcerías volvió al libro en la tranquilidad del estudio que miraba hacia el parque de los robles. Arrellanado en su sillón favorito de espaldas a la puerta que lo hubiera molestado como una irritante posibilidad de intrusiones, dejó que su mano izquierda acariciara una y otra vez el terciopelo verde y se puso a leer los últimos capítulos. Su memoria retenía sin esfuerzo los nombres y las imágenes de los protagonistas; la ilusión novelesca lo ganó casi en seguida. Gozaba del placer casi perverso de irse desgajando línea a línea de lo que lo rodeaba, y sentir a la vez que su cabeza descansaba cómodamente en el terciopelo del alto respaldo, que los cigarrillos seguían al alcance de la mano, que más allá de los ventanales danzaba el aire del atardecer bajo los robles. Palabra a palabra, absorbido por la sórdida disyuntiva de los héroes, dejándose ir hacia las imágenes que se concertaban y adquirian color y movimiento, fue testigo del último encuentro en la cabaña del monte. Primero entraba la mujer, recelosa; ahora llegaba el amante, lastimada la cara por el chicotazo de una rama. Admirablemente restallaba ella la sangre con sus besos, pero él rechazaba las caricias, no había venido para repetir las ceremonias de una pasión secreta, protegida por un mundo de hojas secas y senderos furtivos. El puñal se entibiaba contra su pecho, y debajo latía la libertad agazapada. Un diálogo anhelante corría por las páginas como un arroyo de serpientes, y se sentía que todo estaba decidido desde siempre. Hasta esas caricias que enredaban el cuerpo del amante como queriendo retenerlo y disuadirlo, dibujaban abominablemente la figura de otro cuerpo que era necesario destruir. Nada había sido olvidado: coartadas, azares, posibles errores. A partir de esa hora cada instante tenía su empleo minuciosamente atribuido. El doble repaso despiadado se interrumpía apenas para que una mano acariciara una mejilla. Empezaba a anochecer.",Cortázar
"Con Leticia y Holanda íbamos a jugar a las vías del Central Argentino los días de calor, esperando que mamá y tía Ruth empezaran su siesta para escaparnos por la puerta blanca. Mamá y tía Ruth estaban siempre cansadas después de lavar la loza, sobre todo cuando Holanda y yo secábamos los platos porque entonces había discusiones, cucharitas por el suelo, frases que sólo nosotras entendíamos, y en general un ambiente en donde el olor a grasa, los maullidos de José y la oscuridad de la cocina acababan en una violentísima pelea y el consiguiente desparramo. Holanda se especializaba en armar esta clase de líos, por ejemplo dejando caer un vaso ya lavado en el tacho del agua sucia, o recordando como al pasar que en la casa de las de Loza había dos sirvientas para todo servicio. Yo usaba otros sistemas, prefería insinuarle a tía Ruth que se le iban a paspar las manos si seguía fregando cacerolas en vez de dedicarse a las copas o los platos, que era precisamente lo que le gustaba lavar a mamá , con lo cual las enfrentaba sordamente en una lucha de ventajeo por la cosa fácil. El recurso heroico, si los consejos y las largas recordaciones familiares empezaban a saturarnos, era volcar agua hirviendo en el lomo del gato. Es una gran mentira eso del gato escaldado, salvo que haya que tomar al pie de la letra la referencia al agua fría; porque de la caliente José no se alejaba nunca, y hasta parecía ofrecerse, pobre animalito, a que le volcáramos media taza de agua a cien grados o poco menos, bastante menos probablemente porque nunca se le caía el pelo. La cosa es que ardía Troya, y en la confusión coronada por el espléndido si bemol de tía Ruth y la carrera de mamá en busca del bastón de los castigos, Holanda y yo nos perdíamos en la galería cubierta, hacia las piezas vacías del fondo donde Leticia nos esperaba leyendo a Ponson du Terrail, lectura inexplicable.",Cortázar
"Al principio la muchacha del Dauphine había insistido en llevar la cuenta del tiempo, aunque al ingeniero del Peugeot 404 le daba ya lo mismo. Cualquiera podía mirar su reloj pero era como si ese tiempo atado a la muñeca derecha o el bip bip de la radio midieran otra cosa, fuera el tiempo de los que no han hecho la estupidez de querer regresar a París por la autopista del sur un domingo de tarde y, apenas salidos de Fontainbleau, han tenido que ponerse al paso, detenerse, seis filas a cada lado (ya se sabe que los domingos la autopista está íntegramente reservada a los que regresan a la capital), poner en marcha el motor, avanzar tres metros; detenerse, charlar con las dos monjas del 2HP a la derecha, con la muchacha del Dauphine a la izquierda, mirar por el retrovisor al hombre pálido que conduce un Caravelle, envidiar irónicamente la felicidad avícola del matrimonio del Peugeot 203 (detrás del Dauphine de la muchacha) que juega con su niñita y hace bromas y come queso, o sufrir de a ratos los desbordes exasperados de los dos jovencitos del Simca que precede al Peugeot 404, y hasta bajarse en los altos y explorar sin alejarse mucho (porque nunca se sabe en qué momento los autos de más adelante reanudarán la marcha y habrá que correr para que los de atrás no inicien la guerra de las bocinas y los insultos), y así llegar a la altura de un Taunus delante del Dauphine de la muchacha que mira a cada momento la hora, y cambiar unas frases descorazonadas o burlonas con los dos hombres que viajan con el niño rubio cuya inmensa diversión en esas precisas circunstancias consiste en hacer correr libremente su autito de juguete sobre los asientos y el reborde posterior del Taunus, o atreverse y avanzar todavía un poco más, puesto que no parece que los autos de adelante vayan a reanudar la marcha, y contemplar con alguna lástima al matrimonio de ancianos en el ID Citroën que parece una gigantesca bañadera violeta donde sobrenadan los dos viejitos, él descansando los antebrazos en el volante con un aire de paciente fatiga, ella mordisqueando una manzana con más aplicación que ganas. ",Cortázar
"Cuando inesperadamente tía Clelia se sintió mal, en la familia hubo un momento de pánico y por varias horas nadie fue capaz de reaccionar y discutir un plan de acción, ni siquiera tío Roque que encontraba siempre la salida más atinada. A Carlos lo llamaron por teléfono a la oficina, Rosa y Pepa despidieron a los alumnos de piano y solfeo, y hasta tía Clelia se preocupó más por mamá que por ella misma. Estaba segura de que lo que sentía no era grave, pero a mamá no se le podían dar noticias inquietantes con su presión y su azúcar, de sobra sabían todos que el doctor Bonifaz había sido el primero en comprender y aprobar que le ocultaran a mamá lo de Alejandro. Si tía Clelia tenía que guardar cama era necesario encontrar alguna manera de que mamá no sospechara que estaba enferma, pero ya lo de Alejandro se había vuelto tan difícil y ahora se agregaba esto; la menor equivocación, y acabaría por saber la verdad. Aunque la casa era grande, había que tener en cuenta el oído tan afinado de mamá y su inquietante capacidad para adivinar dónde estaba cada uno. Pepa, que había llamado al doctor Bonifaz desde el teléfono de arriba, avisó a sus hermanos que el médico vendría lo antes posible y que dejaran entornada la puerta cancel para que entrase sin llamar. Mientras Rosa y tío Roque atendían a tía Clelia que había tenido dos desmayos y se quejaba de un insoportable dolor de cabeza, Carlos se quedó con mamá para contarle las novedades del conflicto diplomático con el Brasil y leerle las últimas noticias. Mamá estaba de buen humor esa tarde y no le dolía la cintura como casi siempre a la hora de la siesta. A todos les fue preguntando qué les pasaba que parecían tan nerviosos, y en la casa se habló de la baja presión y de los efectos nefastos de los mejoradores en el pan. A la hora del té vino tío Roque a charlar con mamá, y Carlos pudo darse un baño y quedarse a la espera del médico. Tía Clelia seguía mejor, pero le costaba moverse en la cama y ya casi no se interesaba por lo que tanto la había preocupado al salir del primer vahído. Pepa y Rosa se turnaron junto a ella, ofreciéndole té y agua sin que les contestara; la casa se apaciguó con el atardecer y los hermanos se dijeron que tal vez lo de tía Clelia no era grave, y que a la tarde siguiente volvería a entrar en el dormitorio de mamá como si no le hubiese pasado nada.",Cortázar
"El hecho ocurrió el mes de febrero de 1969, al norte de Boston, en Cambridge. No lo escribí inmediatamente porque mi primer propósito fue olvidarlo, para no perder la razón. Ahora, en 1972, pienso que si lo escribo, los otros lo leerán como un cuento y, con los años, lo será tal vez para mí. Sé que fue casi atroz mientras duró y más aún durante las desveladas noches que lo siguieron. Ello no significa que su relato pueda conmover a un tercero.
Serían las diez de la mañana. Yo estaba recostado en un banco, frente al río Charles. A unos quinientos metros a mi derecha había un alto edificio, cuyo nombre no supe nunca. El agua gris acarreaba largos trozos de hielo. Inevitablemente, el río hizo que yo pensara en el tiempo. La milenaria imagen de Heráclito. Yo había dormido bien, mi clase de la tarde anterior había logrado, creo, interesar a los alumnos. No había un alma a la vista.
Sentí de golpe la impresión (que según los psicólogos corresponde a los estados de fatiga) de haber vivido ya aquel momento. En la otra punta de mi banco alguien se había sentado. Yo hubiera preferido estar solo, pero no quise levantarme en seguida, para no mostrarme incivil. El otro se había puesto a silbar. Fue entonces cuando ocurrió la primera de las muchas zozobras de esa mañana. Lo que silbaba, lo que trataba de silbar (nunca he sido muy entonado), era el estilo criollo de La tapera de Elías Regules. El estilo me retrajo a un patio, que ha desaparecido, y la memoria de Alvaro Melián Lafinur, que hace tantos años ha muerto. Luego vinieron las palabras. Eran las de la décima del principio. La voz no era la de Álvaro, pero quería parecerse a la de Alvaro. La reconocí con horror.",Borges
"La línea consta de un número infinito de puntos; el plano, de un número infinito de líneas; el volumen, de un número infinito de planos; el hipervolumen, de un número infinito de volúmenes… No, decididamente no es éste, more geométrico, el mejor modo de iniciar mi relato. Afirmar que es verídico es ahora una convención de todo relato fantástico; el mío, sin embargo, es verídico.
Yo vivo solo, en un cuarto piso de la calle Belgrano. Hará unos meses, al atardecer, oí un golpe en la puerta. Abrí y entró un desconocido. Era un hombre alto, de rasgos desdibujados. Acaso mi miopía los vio así. Todo su aspecto era de pobreza decente. Estaba de gris y traía una valija gris en la mano. Enseguida sentí que era extranjero. Al principio lo creí viejo; luego advertí que me había engañado su escaso pelo rubio, casi blanco, a la manera escandinava. En el curso de nuestra conversación, que no duraría una hora, supe que procedía de las Orcadas.",Borges
"Quien recorre los diarios cada mañana lo hace para el olvido o para el diálogocasual de esa tarde, y así no es raro que ya nadie recuerde, o recuerde como en unsueño, el caso entonces discutido y famoso de Maneco Uriarte y de Duncan. Elhecho aconteció, por lo demás, hacia 1910, el año del cometa y del Centenario, yson tantas las cosas que desde entonces hemos poseído y perdido. Losprotagonistas ya han muerto; quienes fueron testigos del episodio juraron unsolemne silencio. También yo alcé la mano para jurar y sentí la importancia deaquel rito, con toda la romántica seriedad de mis nueve o diez años. No sé si losdemás advirtieron que yo había dado mi palabra; no sé si guardaron la suya. Sea loque fuere, aquí va la historia, con las inevitables variaciones que traen el tiempo yla buena o la mala literatura.Mi primo Lafinur me llevó esa tarde a un asado en la quinta de Los Laureles. Nopuedo precisar su topografía; pensemos en uno de esos pueblos del Norte,sombreados y apacibles, que van declinando hacia el río y que nada tienen que vercon la larga ciudad y con su llanura. El viaje en tren duró lo bastante para que mepareciera tedioso, pero el tiempo de los niños, como se sabe, fluye con lentitud.Había empezado a oscurecer cuando atravesamos el portón de la quinta. Ahíestaban, sentí, las antiguas cosas elementales: el olor de la carne que se dora, losárboles, los perros, las ramas secas, el fuego que reune a los hombres.",Borges
"Hace ya tantos años que Carlos Reyles, hijo del novelista, me refirió la historia en Adrogué, en un atardecer de verano. En mi recuerdo se confunden ahora la larga crónica de un odio y su trágico fin con el olor medicinal de los eucaliptos y la voz de los pájaros.
Hablamos, como siempre, de la entreverada historia de las dos patrias. Me dijo que sin duda yo tenía mentas de Juan Patricio Nolan, que había ganado fama de valiente, de bromista y de pícaro. Le contesté, mintiendo, que sí. Nolan había muerto hacia el noventa, pero la gente seguía pensando en él como en un amigo. Tuvo también sus detractores, que nunca faltan. Me contó una de sus muchas diabluras. El hecho había ocurrido poco antes de la batalla de Manantiales; los protagonistas eran dos gauchos de Cerro Largo, Manuel Cardoso y Carmen Silveira.
¿Cómo y por qué se gestó su odio? ¿Cómo recuperar, al cabo de un siglo, la oscura historia de dos hombres, sin otra fama que la que les dio su duelo final? Un capataz del padre de Reyles, que se llamaba Laderecha y ""que tenía un bigote de tigre"", había recibido por tradición oral ciertos pormenores que ahora traslado sin mayor fe, ya que el olvido y la memoria son inventivos.",Borges
"Cuentan los hombres dignos de fe (pero Alá sabe más) que en los primeros días hubo un rey de las islas de Babilonia que congregó a sus arquitectos y magos y les mandó a construir un laberinto tan perplejo y sutil que los varones más prudentes no se aventuraban a entrar, y los que entraban se perdían. Esa obra era un escándalo, porque la confusión y la maravilla son operaciones propias de Dios y no de los hombres. Con el andar del tiempo vino a su corte un rey de los árabes, y el rey de Babilonia (para hacer burla de la simplicidad de su huésped) lo hizo penetrar en el laberinto, donde vagó afrentado y confundido hasta la declinación de la tarde. Entonces imploró socorro divino y dio con la puerta. Sus labios no profirieron queja ninguna, pero le dijo al rey de Babilonia que él en Arabia tenía otro laberinto y que, si Dios era servido, se lo daría a conocer algún día. Luego regresó a Arabia, juntó sus capitanes y sus alcaides y estragó los reinos de Babilonia con tan venturosa fortuna que derribo sus castillos, rompió sus gentes e hizo cautivo al mismo rey. Lo amarró encima de un camello veloz y lo llevó al desierto. Cabalgaron tres días, y le dijo: “Oh, rey del tiempo y substancia y cifra del siglo!, en Babilonia me quisiste perder en un laberinto de bronce con muchas escaleras, puertas y muros; ahora el Poderoso ha tenido a bien que te muestre el mío, donde no hay escaleras que subir, ni puertas que forzar, ni fatigosas galerías que recorrer, ni muros que veden el paso.” Luego le desató las ligaduras y lo abandonó en la mitad del desierto, donde murió de hambre y de sed. La gloria sea con aquel que no muere.",Borges
"Andrée, yo no quería venirme a vivir a su departamento de la calle Suipacha. No tanto por los conejitos, más bien porque me duele ingresar en un orden cerrado, construido ya hasta en las más finas mallas del aire, esas que en su casa preservan la música de la lavanda, el aletear de un cisne con polvos, el juego del violín y la viola en el cuarteto de Rará. Me es amargo entrar en un ámbito donde alguien que vive bellamente lo ha dispuesto todo como una reiteración visible de su alma, aquí los libros (de un lado en español, del otro en francés e inglés), allí los almohadones verdes, en este preciso sitio de la mesita el cenicero de cristal que parece el corte de una pompa de jabón, y siempre un perfume, un sonido, un crecer de plantas, una fotografía del amigo muerto, ritual de bandejas con té y tenacillas de azúcar... Ah, querida Andrée, qué difícil oponerse, aun aceptándolo con entera sumisión del propio ser, al orden minucioso que una mujer instaura en su liviana residencia. Cuán culpable tomar una tacita de metal y ponerla al otro extremo de la mesa, ponerla allí simplemente porque uno ha traído sus diccionarios ingleses y es de este lado, al alcance de la mano, donde habrán de estar. Mover esa tacita vale por un horrible rojo inesperado en medio de una modulación de Ozenfant, como si de golpe las cuerdas de todos los contrabajos se rompieran al mismo tiempo con el mismo espantoso chicotazo en el instante más callado de una sinfonía de Mozart. Mover esa tacita altera el juego de relaciones de toda la casa, de cada objeto con otro, de cada momento de su alma con el alma entera de la casa y su habitante lejana. Y yo no puedo acercar los dedos a un libro, ceñir apenas el cono de luz de una lámpara, destapar la caja de música, sin que un sentimiento de ultraje y desafio me pase por los ojos como un bando de gorriones.",Cortázar
"Entre la última cucharada de arroz con leche —poca canela, una lástima— y los besos antes de subir a acostarse, llamó la campanilla en la pieza del teléfono e Isabel se quedó remoloneando hasta que Inés vino de atender y dijo algo al oído de su madre. Se miraron entre ellas y después las dos a Isabel, que pensó en la jaula rota y las cuentas de dividir y un poco en la rabia de misia Lucera por tocarle el timbre a la vuelta de la escuela. No estaba tan inquieta, su madre e Inés miraban como más allá de ellas, casi tomándola como pretexto; pero la miraban. —A mí, créeme que no me gusta que vaya —dijo Inés—. No tanto por el tigre, después de todo cuidan bien ese aspecto. Pero la casa tan triste, y ese chico sólo para jugar con ella…—A mí tampoco me gusta —dijo la madre, e Isabel supo como desde un tobogán que la mandarían a lo de Funes a pasar el verano. Se tiró en la noticia, en la enorme ola verde, lo de Funes, lo de Funes, claro que la mandaban. No les gustaba pero convenía. Bronquios delicados, Mar del Plata carísima, difícil manejarse con una chica consentida, boba, conducta regular con lo buena que es la señorita Tania, sueño inquieto y juguetes por todos lados, preguntas, botones, rodillas sucias. Sintió miedo, delicia, olor de sauces y la u de Funes se le mezclaba con el arroz con leche, tan tarde y a dormir, ya mismo a la cama.",Cortázar
" El sábado tío Carlos llegó a mediodía con la máquina de matar hormigas. El día antes había dicho en la mesa que iba a traerla, y mi hermana y yo esperábamos la máquina imaginando que era enorme, que era terrible. Conocíamos bien las hormigas de Bánfield, las hormigas negras que se van comiendo todo, hacen los hormigueros en la tierra, en los zócalos, o en ese pedazo misterioso donde una casa se hunde en el suelo, allí hacen agujeros disimulados pero no pueden esconder su fila negra que va y viene trayendo pedacitos de hojas, y los pedacitos de hojas eran las plantas del jardín, por eso mamá y tío Carlos se habían decidido a comprar la máquina para acabar con las hormigas.
Me acuerdo que mi hermana vio venir a tío Carlos por la calle Rodríguez Peña, desde lejos lo vio venir en el tílbury de la estación, y entró corriendo por el callejón del costado gritando que tío Carlos traía la máquina. Yo estaba en los ligustros que daban a lo de Lila, hablando con Lila por el alambrado, contándole que por la tarde íbamos a probar la máquina, y Lila estaba interesada pero no mucho, porque a las chicas no les importan las máquinas y no les importan las hormigas, solamente le llamaba la atención que la máquina echaba humo y que eso iba a matar todas las hormigas de casa.
Al oír a mi hermana le dije a Lila que tenía que ir a ayudar a bajar la máquina, y corrí por el callejón con el grito de guerra de Sitting Bull, corriendo de una manera que había inventado en ese tiempo y que era correr sin doblar las rodillas, como pateando una pelota. Cansaba poco y era como un vuelo, aunque nunca como el sueño de volar que yo siempre tenía entonces, y que era recoger las piernas del suelo, y con apenas un movimiento de cintura volar a veinte centímetros del suelo, de una manera que no se puede contar por lo linda, volar por calles largas, subiendo a veces un poco y otra vez al ras del suelo, con una sensación tan clara de estar despierto, aparte que en ese sueño la contra era que yo siempre soñaba que estaba despierto, que volaba de verdad, que antes lo había soñado pero esta vez iba de veras, y cuando me despertaba era como caerme al suelo, tan triste salir andando o corriendo pero siempre pesado, vuelta abajo a cada salto. Lo único un poco parecido era esta manera de correr que había inventado, con las zapatillas de goma Keds Champion con puntera daba la impresión del sueño, claro que no se podía comparar.",Cortázar
"Dédée me ha llamado por la tarde diciéndome que Johnny no estaba bien, y he ido en seguida al hotel. Desde hace unos días Johnny y Dédée viven en un hotel de la rue Lagrange, en una pieza del cuarto piso. Me ha bastado ver la puerta de la pieza para darme cuenta de que Johnny está en la peor de las miserias; la ventana da a un patio casi negro, y a la una de la tarde hay que tener la luz encendida si se quiere leer el diario o verse la cara. No hace frío, pero he encontrado a Johnny envuelto en una frazada, encajado en un roñoso sillón que larga por todos lados pedazos de estopa amarillenta. Dédée está envejecida, y el vestido rojo le queda muy mal; es un vestido para el trabajo, para las luces de la escena; en esa pieza del hotel se convierte en una especie de coágulo repugnante. -El compañero Bruno es fiel como el mal aliento -ha dicho Johnny a manera de saludo, remontando las rodillas hasta apoyar en ellas el mentón. Dédée me ha alcanzado una silla y yo he sacado un paquete de Gauloises. Traía un frasco de ron en el bolsillo, pero no he querido mostrarlo hasta hacerme una idea de lo que pasa. Creo que lo más irritante era la lamparilla con su ojo arrancado colgando del hilo sucio de moscas. Después de mirarla una o dos veces, y ponerme la mano como pantalla, le he preguntado a Dédée si no podíamos apagar la lamparilla y arreglarnos con la luz de la ventana. Johnny seguía mis palabras y mis gestos con una gran atención distraída, como un gato que mira fijo pero que se ve que está por completo en otra cosa; que es otra cosa. Por fin Dédée se ha levantado y ha apagado la luz. En lo que quedaba, una mezcla de gris y negro, nos hemos reconocido mejor. Johnny ha sacado una de sus largas manos flacas de debajo de la frazada, y yo he sentido la fláccida tibieza de su piel. Entonces Dédée ha dicho que iba a preparar unos nescafés. Me ha alegrado saber que por lo menos tienen una lata de nescafé. Siempre que una persona tiene una lata de nescafé me doy cuenta de que no está en la última miseria; todavía puede resistir un poco",Cortázar
"Esos jueves al caer la noche cuando Lemos me llamaba después del ensayo en Radio Belgrano y entre dos cinzanos los proyectos de nuevas piezas, tener que escuchárselos con tantas ganas de irme a la calle y olvidarme del radioteatro por dos o tres siglos, pero Lemos era el autor de moda y me pagaba bien para lo poco que yo tenía que hacer en sus programas, papeles más bien secundarios y en general antipáticos. Tenés la voz que conviene, decía amablemente Lemos, el radioescucha te escucha y te odia, no hace falta que traiciones a nadie o que mates a tu mamá con estricnina, vos abrís la boca y ahí nomás media Argentina quisiera romperte el alma a fuego lento. No Luciana, precisamente el día en que nuestro galán Jorge Fuentes al término de Rosas de ignominia recibía dos canastas de cartas de amor y un corderito blanco mandado por una estanciera romántica del lado de Tandil, el petiso Mazza me entregó el primer sobre lila de Luciana. Acostumbrado a la nada en tantas de sus formas, me lo guardé en el bolsillo antes de irme al café (teníamos una semana de descanso después del triunfo de Rosas y el comienzo de Pájaro en la tormenta) y solamente en el segundo martini con Juárez Celman y Olive me subió al recuerdo el color del sobre y me di cuenta de que no había leído la carta; no quise delante de ellos porque los aburridos buscan tema y un sobre lila es una mina de oro, esperé a llegar a mi departamento donde la gata por lo menos no se fijaba en esas cosas, le di su leche y su ración de arrumacos, conocí a Luciana. No necesito ver una foto de usted, decía Luciana, no me importa que Sintonía y Antena publiquen fotos de Míguez y de Jorge Fuentes pero nunca de usted, no me importa porque tengo su voz, y tampoco me importa que digan que es antipático y villano, no me importa que sus papeles engañen a todo el mundo, al contrario, porque me hago la ilusión de ser la sola que sabe la verdad: usted sufre cuando interpreta esos papeles, usted pone su talento pero yo siento que no está ahí de veras como Míguez o Raquelita Bailey, usted es tan diferente del príncipe cruel de Rosas de ignominia. Creyendo que odian al príncipe lo odian a usted, la gente confunde y ya me di cuenta con mi tía Poli y otras personas el año pasado cuando usted era Vassilis, el contrabandista asesino. Esta tarde me he sentido un poco sola y he querido decirle esto, tal vez no soy la única que se lo ha dicho y de alguna manera lo deseo por usted, que se sepa acompañado a pesar de todo, pero al mismo tiempo me gustaría ser la única que sabe pasar al otro lado de sus papeles y de su voz, que está segura de conocerlo de veras y de admirarlo más que a los que tienen los papeles fáciles. Es como con Shakespeare, nunca se lo he dicho a nadie, pero cuando usted hizo el papel, Yago me gustó más que Otelo. No se crea obligado a contestarme, pongo mi dirección por si realmente quiere hacerlo, pero si no lo hace yo me sentiré lo mismo feliz de haberle escrito todo esto. ",Cortázar
